TotalFile:7626	PakTime:2023-6-20 5:5:26	PakTimeSave:6490c316	CRC:c094f7ce
Index	ID	Time	FileName	Size	InPakSize	ComprFlag	CRC
95	2ff0535	2015-8-29 16:44:40	\script\caiji\一些巴豆.lua	3396	1615	4	dbcc53f0
96	30ed6a7	2010-11-30 20:34:4	\settings\droprate\npcdroprate408.ini	163	102	4	3f20fa5b
97	3172874	2020-8-27 19:4:40	\script\中原一区\汴京\npc\钱庄老板.lua	3648	1417	4	c45d6714
98	321c006	2015-8-29 16:44:18	\script\item\huihuangrongyaobao.lua	7466	2220	4	4d756665
99	327176f	2015-8-29 16:44:20	\script\item\baozhu.lua	10	10	0	7e3597e6
100	3298038	2015-8-29 16:44:6	\script\skill\npc技能\boss佳韵掌法3(子).lua	991	573	4	ebc46b04
101	33c3889	2015-8-29 16:44:42	\script\newbattles\mainbattle\refugee_talk_npc.lua	1732	822	4	dc35a51
102	3429053	2014-5-5 19:33:56	\settings\static_script\meridian\meridian_level_update_4.lua	1113	631	4	8a4491bd
103	34688ac	2015-8-29 16:44:10	\script\skill\昆仑天师\玄风缠意诀.lua	1382	710	4	56a9c11d
104	3479119	2015-8-29 16:44:40	\script\task\world\ox_quest\five_elements_weapon\step004_001_成都衙门捕头.lua	1100	692	4	c356d338
105	34cdc2d	2015-8-29 16:44:28	\script\中原二区\成都府南\npc\躺在地上的腐尸.lua	88	88	0	42e516b2
106	34fa2a0	2015-8-29 16:44:0	\script\online\viet_event\bet_game\bet_head.lua	4913	1408	4	d3b52a08
107	36a763b	2015-8-29 16:44:22	\script\missions\bw\team_init.lua	1767	847	4	aabe46a5
108	36d3631	2020-10-25 19:53:56	\script\online_activites\201412\tong_christmas_tree.lua	6185	2293	4	2060cdb7
109	378a6eb	2013-4-27 13:10:40	\settings\task\chain_task\task_type_distributing_61.txt	486	120	4	43289cd6
110	37d3c93	2015-8-29 16:44:42	\script\newbattles\resourcebattle\flag_item.lua	1483	764	4	c98c4195
111	38933c3	2015-8-29 16:44:18	\script\item\lifeskill\peifang\9jiyi.lua	711	400	4	55eebfbb
112	38dfa12	2015-8-29 16:44:34	\script\online_activites\head\activity_normal_head.lua.bak	33477	7684	4	ab830389
113	3941af5	2015-8-29 16:44:10	\script\skill\宠物技能\破空斩影.lua	1029	548	4	18f8bca5
114	39a7941	2015-8-29 16:44:40	\script\task\killer\killer_talk_top.lua	1246	603	4	d3907b64
115	39efe26	2020-8-20 19:21:54	\script\中原一区\汴京\npc\彩票仙子.lua	1193	713	4	7aa04b9
116	3a75848	2015-8-29 16:44:10	\script\skill\五毒邪侠\邪毒功(招1).lua	1228	629	4	ca6e08d
117	3c407ab	2015-8-29 16:43:58	\script\online\plant\small_tree_npc.lua	14293	4194	4	6783bae0
118	3c49af5	2015-8-29 16:44:26	\script\missions\dixuangong\stage\stage0.lua	4774	2185	4	2b5868d6
119	3c793b9	2015-8-29 16:44:42	\script\task\random\incept_npc.lua	1799	1049	4	1592baa4
120	3d22805	2020-11-27 0:27:2	\settings\item\shoe.txt	845392	63429	4	5837b083
121	3d9c6c4	2015-8-29 16:44:22	\script\lifeskill\xingan.lua	250	177	4	b54f112c
122	3dc5d3c	2015-8-29 16:44:4	\script\online\qingming\transport_in_QZ.lua	2464	1290	4	bb1d00b1
123	3dee027	2010-11-30 20:34:4	\settings\task\task_talk.txt	3962	2012	4	249a2dab
124	3e40d0a	2010-11-30 20:34:4	\settings\droprate\npcdroprate061.ini	521	191	4	d5d43ba4
125	3e8a6c5	2020-9-12 19:55:40	\script\function\honor_tong\ht_extend.lua	15371	4143	4	92a422c8
126	3eb931a	2015-8-29 16:44:32	\script\中原一区\汴京\npc\制皮学习.lua	7959	3062	4	71b9b7ed
127	3fabae3	2014-11-25 13:37:32	\script\task\npc\脩脹戮娄脡脽Death.lua	185	150	4	e3a090f6
128	3fad743	2020-11-4 19:52:54	\script\online\abluemoon\abluemoon_npc.lua	24784	6114	4	341dd1a6
129	400519b	2014-5-5 19:33:56	\settings\static_script\meridian\meridian_level_update_3.lua	1113	631	4	ce1e60a5
130	40604d3	2015-8-29 16:44:34	\script\pop\2012\flute_item.lua	2886	1312	4	7c0064a6
131	41480da	2020-1-12 18:45:42	\script\skill\昆仑剑尊\炼剑-天冥.lua	1397	710	4	643129aa
132	417df85	2022-8-11 12:51:0	\script\江南区\扬州\npc\物品保管人北.lua	2867	1454	4	34a124a9
133	41b2f3e	2015-8-29 16:44:32	\script\世界地图\轩辕谷\npc\轩辕谷采药人甲.lua	295	204	4	5e02648b
134	42e42b5	2015-8-29 16:44:0	\script\online\aoyun08\Item\huojufushi.lua	491	332	4	ccad235d
135	42f8f0b	2021-5-30 9:27:38	\settings\npcres\娇小女主角下身信息.txt	175538	3675	4	4dd42515
136	4335f99	2010-11-30 20:34:4	\settings\droprate\npcdroprate163.ini	454	186	4	2c35a76e
137	43494fc	2020-12-1 18:4:34	\script\online\viet_event\new_year_09\item\plum_blossom.lua	9509	3346	4	b72f07d3
138	44acf61	2020-3-4 1:17:16	\script\online_activites\item\item_jinnangdashijian.lua	114	114	0	e9e14054
139	450b62a	2015-8-29 16:44:32	\script\世界地图\苍龙岭\npc\苍龙岭伐木人丁.lua	312	222	4	a6999a3b
140	468f12b	2010-11-30 20:34:4	\settings\task\chain_task\kill_monster_36.txt	25381	4434	4	5361f067
141	4699934	2014-6-19 16:29:36	\settings\StateChess\StateChess.ini	162	124	4	ebcc29ce
142	46adf31	2015-8-29 16:44:6	\script\skill\npc技能\npc减气攻击.lua	1037	566	4	c2d3c09b
143	46e10ca	2015-8-29 16:44:20	\script\item\lifeskill\kuxing.lua	446	335	4	159a1c78
144	46e9d29	2015-8-29 16:44:16	\script\西北区\秦始皇陵\trap\秦始皇陵to凤翔府北.lua	105	105	0	cf00c3f1
145	474112a	2014-11-25 13:37:32	\script\task\npc\脛锚脢脼Death.lua	185	150	4	2aa975c2
146	47a4d91	2015-8-29 16:44:24	\script\missions\kuafu_battle\npc\ms_liao_jlfw.lua	20	20	0	11fc4b35
147	48152f1	2015-8-29 16:44:8	\script\skill\武当道家\奔雷剑法.lua	1413	696	4	ba7f76eb
148	487658a	2015-8-29 16:43:56	\script\online\qixi08\box\mission_head.lua	500	233	4	d775e27d
149	48a9917	2015-8-29 16:44:10	\script\skill\杨门枪骑\杨家倒海枪(招1).lua	1105	596	4	1708fc34
150	48bb895	2015-8-29 16:44:10	\script\skill\宠物技能\伤害加深.lua	952	533	4	40da29d3
151	4922bfc	2015-8-29 16:44:32	\script\世界地图\含幽谷\npc\车夫.lua	1749	986	4	5b0d507a
152	49f95b9	2020-1-13 23:34:2	\settings\npcres\character_name_color.ini	797	446	4	c4b55ef7
153	4a08a7f	2010-11-30 20:34:4	\settings\item\ba_gua_suit_raw_stone.txt	269	135	4	c6b5097d
154	4a51de0	2015-8-29 16:44:24	\script\missions\northwest_mission\stage\stage_3.lua	11216	3969	4	7314d7
155	4aaeea4	2015-8-29 16:44:10	\script\skill\外传新增\太一塔\NPC光环持续2.lua	1158	673	4	765f882a
156	4abb205	2015-8-29 16:44:6	\script\skill\npc技能\boss佳韵特效.lua	1029	568	4	446a42fb
157	4ad2eff	2020-1-12 18:45:58	\script\skill\昆仑剑尊\天冥攻击.lua	970	526	4	45fdb55b
158	4b03656	2015-8-29 16:44:18	\script\item\item_billing\xiaodaiwuhua.lua	1333	710	4	3450a34b
159	4b0e475	2015-8-29 16:44:8	\script\skill\翠烟灵女\百蝶迎香诀.lua	987	567	4	34769dd3
160	4b605c7	2015-8-29 16:44:8	\script\skill\翠烟灵女\蝶恋花(招2).lua	1348	668	4	d97feb0b
161	4c2aadd	2010-11-30 20:34:4	\settings\task\chain_task\task_type_distributing_39.txt	486	120	4	43289cd6
162	4c5fffa	2020-7-3 19:47:56	\script\caiji\一些藏红花.lua	4412	1663	4	dfede27a
163	4e43fb9	2010-11-30 20:34:4	\settings\droprate\npcdroprate406.ini	634	208	4	8d1238ae
164	4ed2cb1	2015-8-29 16:44:18	\script\item\item_billing\xinhuntoushibao.lua	1060	656	4	f0b20da0
165	4fa8536	2015-8-29 16:43:58	\script\online\qingrenyuanxiao\xuxian_npc.lua	3856	1592	4	61ad2347
166	4fe8c99	2020-8-22 16:3:18	\script\online\chuhunguanzhan\head.lua	24	24	0	f2b6212f
167	506839d	2015-8-29 16:44:18	\script\item\item_billing\tmz_jwhf_box.lua	926	519	4	eb52c42b
168	50ce604	2015-8-29 16:44:18	\script\item\item_billing\junyongshu.lua	2060	870	4	fe38196b
169	50ddc8a	2015-8-29 16:44:44	\script\江南区\泉州\npc\收耕学习.lua	9610	3557	4	f1e593fa
170	51e5b8e	2015-8-29 16:44:10	\script\skill\外传新增\武松普攻.lua	1029	568	4	43925364
171	5312548	2015-8-29 16:44:8	\script\skill\普通攻击\投掷中雪球.lua	1015	578	4	cd0e65c1
172	536fb0c	2015-8-29 16:43:58	\script\online\qingrenyuanxiao\yinxin_npc.lua	308	265	4	5d75979a
173	5392244	2015-8-29 16:44:46	\script\lib\time.lua	10769	3512	4	37143b38
174	53fd9d3	2015-5-22 11:58:26	\settings\static_script\lib\item_define.lua	6064	2304	4	9508b36a
175	54268d7	2015-8-29 16:44:8	\script\skill\外传新增\太一塔\荒火烈焰.lua	922	523	4	7abb64cb
176	547bbc3	2015-8-29 16:44:40	\script\task\world\ox_quest\five_elements_weapon\step004_002_成都士兵队长.lua	1743	1198	4	7fd2f779
177	56123f4	2010-11-30 20:34:4	\settings\npc\boss_setting\藏剑阁总管50.ini	17132	2412	4	7ad48cd6
178	56f412e	2020-1-6 21:28:32	\script\skill\明教阵兵\五灵散元(招1).lua	1331	702	4	e43b9f49
179	5785401	2015-8-29 16:43:56	\script\online\qixi08\light\light_head.lua	10609	2912	4	d7f88820
180	58d78c6	2015-8-29 16:44:46	\script\gongcheng\item\res_box_prize.lua	3370	1549	4	c24c2136
181	597dbe3	2015-8-29 16:44:30	\script\中原二区\七星洞二层\trap\七星洞二层to七星洞一层.lua	108	108	0	1f5b4b4f
182	5bbb7bb	2015-8-29 16:44:34	\script\pop\npc_createnpc.lua	1486	623	4	f0572c3a
183	5be16b1	2015-8-29 16:44:26	\script\missions\liangshan\stage\stage_1.lua	6284	2132	4	1439c3e7
184	5ca07f4	2015-8-29 16:44:30	\script\中原二区\武当\npc\道童.lua	967	596	4	c813a2c6
185	5f58607	2015-8-29 16:44:18	\script\item\item_billing\zaizhanhaohualibao.lua	3132	913	4	a94594b9
186	5f955af	2015-8-29 16:44:42	\script\task\weekend\item_bg06.lua	162	162	0	1231a457
187	5f9af32	2015-8-29 16:44:10	\script\skill\秘籍武功\君子功心法.lua	1051	585	4	83bdd5ce
188	60bee0a	2015-8-29 16:44:30	\script\中原二区\襄阳\npc\巫寅.lua	2172	953	4	378bae9f
189	613f259	2015-8-29 16:44:26	\script\missions\liangshan\stage\stage_2.lua	3188	1167	4	38b85fb2
190	6194933	2015-8-29 16:44:38	\script\online_activites\2010_04\activities_02\head.lua	1245	565	4	2b580a02
191	6248c11	2015-8-29 16:44:10	\script\skill\秘籍武功\天罗连珠网.lua	1085	600	4	7dc5649f
192	627dffd	2015-8-29 16:44:30	\script\中原二区\龙虎洞一层\trap\龙虎洞一层to伏牛山.lua	104	104	0	84544c88
193	629bd8f	2015-8-29 16:44:18	\script\item\item_billing\xiaolijin.lua	212	197	4	cd52220d
194	62c0b4f	2019-6-4 10:8:50	\settings\npcres\动作编号表.txt	5187	1413	4	86104498
195	62dcd7d	2015-8-29 16:44:22	\script\lifeskill\meijiu.lua	240	168	4	cffc8587
196	6312328	2010-11-30 20:34:4	\settings\droprate\npcdroprate407.ini	515	193	4	183477cd
197	63a176f	2022-12-17 3:30:36	\script\online\eating\npc_resting.lua	2826	1320	4	6a80f7b2
198	646b195	2022-7-30 16:43:46	\script\中原二区\成都府北\npc\小店老板.lua	541	317	4	23fc27f4
199	6484d78	2020-7-10 3:57:30	\script\online\viet_event\vng_task_control.lua	63983	15058	4	250befbd
200	650edd2	2015-8-29 16:44:32	\script\世界地图\石门洞\npc\石门洞石匠丙.lua	257	172	4	71982c21
201	6513cc4	2015-8-29 16:44:2	\script\online\viet_event\200909\1\item_shijinbing.lua	1486	691	4	c42a2d21
202	65a4726	2015-8-29 16:44:18	\script\item\item_billing\xiaobaoxiaoyaoyu.lua	212	187	4	5ae31dfa
203	6603324	2015-8-29 16:44:24	\script\missions\kuafu_battle\npc\ms_song_sr.lua	31	31	0	ababb25f
204	668f642	2015-8-29 16:44:40	\script\task\world\lizhi_襄阳\talk_公孙书.lua	1023	317	4	175fa02e
205	684a9b0	2015-8-29 16:44:48	\script\西南区\大理府\npc\商会老板.lua	429	257	4	76ebd09
206	692ecb9	2015-8-29 16:44:6	\script\skill\五毒蛊师\心蛊(陷阱).lua	1581	815	4	99762e2e
207	6958904	2015-8-29 16:44:10	\script\skill\昆仑天师\五雷正法符(招2).lua	1294	685	4	e9ea7139
208	697dc99	2015-3-17 16:44:42	\settings\static_script\kf_newbattles\battle_medicine_item.lua	866	485	4	c0a4fc32
209	6c9a595	2015-8-29 16:44:10	\script\skill\外传新增\公孙胜雷球.lua	978	552	4	bec05bda
210	6d3e612	2015-8-29 16:44:42	\script\task\world\task_trigger_list.lua	3144	1007	4	1d4c0c20
211	6e2458a	2015-8-29 16:44:8	\script\skill\普通攻击\普通攻击.lua	982	553	4	8e5f6552
212	70218d6	2015-8-29 16:44:38	\script\online_activites\2010_01\activites_01\strings.lua.bak	7376	2680	4	7cb83ebe
213	7071c19	2015-8-29 16:44:20	\script\misc\globaldatasync.lua	4785	1642	4	48e4e0b9
214	70dd4e5	2013-4-28 11:29:54	\settings\inside_pos.txt	3527	1692	4	ac3cd400
215	70e0033	2015-8-29 16:44:6	\script\skill\npc技能\孙悟空召唤子弹.lua	1044	579	4	6b7407aa
216	715b94f	2015-8-29 16:44:42	\script\task\function\meridian_wuwan.lua	197	137	4	53a1f346
217	722f714	2015-8-29 16:44:42	\script\newbattles\resourcebattle\environmentalist_death.lua	382	288	4	c88fdefb
218	729bfca	2015-8-29 16:44:18	\script\item\lifeskill\peifang\shengui.lua	452	341	4	17e7f0be
219	72e3897	2015-8-29 16:44:44	\script\江南区\扬州\npc\陈敏.lua	680	357	4	d4aab196
220	73ca88f	2020-8-20 22:18:16	\script\online\viet_event\200909\2\death_niansou.lua	2518	1086	4	c92c728e
221	7402b93	2015-8-29 16:44:32	\script\中原一区\少林\trap\少林to少林密室.lua	72	72	0	e4ff7137
222	7464bdf	2015-8-29 16:44:42	\script\newbattles\resourcebattle\mission\mission.lua	4263	1575	4	9f1d3c5c
223	74cda80	2015-8-29 16:44:48	\script\西南区\凝月宫\trap\nyg_to_sfy.lua	70	70	0	71b2c420
224	74d98fc	2015-8-29 16:44:44	\script\newbattles\newresourcebattle\playerdeath.lua	37	37	0	5ddebe64
225	752a3bb	2015-8-29 16:44:50	\script\yaopin_npc_head.lua	1409	656	4	1c226902
226	7642cd5	2015-8-29 16:44:34	\script\pop\2012\antidote_item.lua	1535	962	4	8c5217c
227	767e024	2015-8-29 16:44:46	\script\太虚幻境\trap_瀚海黄沙.lua	912	583	4	71e04ef7
228	76ce00f	2015-8-29 16:44:6	\script\skill\npc技能\npc混乱.lua	980	561	4	2d2caa64
229	76da0f5	2022-8-3 18:9:52	\script\online_activites\2010_06\activites_02\npc\npc_shoucangmiji.lua	16160	4545	4	83028a05
230	76dcd52	2015-8-29 16:44:2	\script\online\viet_event\200912\1\item_xiangcaodangao.lua	1214	680	4	5d6dd246
231	7775821	2015-8-29 16:44:42	\script\task\weekend\item_bg07.lua	162	162	0	e22f3d7d
232	785b644	2010-11-30 20:34:4	\settings\droprate\npcdropratetj003.ini	335	157	4	c6e8280
233	798f427	2012-5-11 15:53:48	\settings\static_script\missions\hunduantongtianding\trap\trap2.lua	106	106	0	77a23029
234	7a068de	2020-7-28 13:38:10	\script\online_activites\2011_11\activity_04\npc_christmas_tree.lua	2670	1027	4	c0508b18
235	7a4f0fa	2015-8-29 16:44:38	\script\online_activites\2010_04\activities_02\strings.lua	5000	1802	4	8eba5227
236	7a81e42	2015-8-29 16:44:50	\script\西南区\翠烟\npc\胡曼成.lua	3078	1173	4	68fe62ed
237	7a988ce	2013-4-27 13:10:40	\settings\task\chain_task\task_type_distributing_60.txt	486	120	4	43289cd6
238	7bf9504	2021-4-6 9:35:2	\settings\npcres\标准男主角头部信息.txt	217628	3957	4	d32892d0
239	7d6bbfa	2015-5-22 11:58:26	\settings\item\custom_award\custom_consume_list.txt	1228	491	4	d6d89972
240	7dcb903	2015-8-29 16:44:10	\script\skill\秘籍武功\反两仪刀法.lua	1323	707	4	887a2974
