Tªn yÕu quyÕt	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Sè thø tù mËt tŞch	L­u	id kü n¨ng (dïng ph¸n ®o¸n lo¹i trõ)	L­u2	L­u3	L­u4	L­u5	L­u6	L­u7	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)8	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	L­u ( Ch÷ sè)9	L­u ph¸i (L­u ph¸i id. Kh«ng ®iÒn hoÆc mÆc ®Şnh sè nhá h¬n 0 ®Òu cã thÓ t¶i)	L­u ( Ch÷ sè)10	Column11
Tu T©m quyÕt	2	6	22	1	1	1	22		47									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Tu T©m quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Cã tû lÖ sö dông vâ c«ng bá qua tÊt c¶ tiªu hao		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Ngò ChuyÓn ChØ quyÕt	2	6	23	1	1	1	23		48									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Ngò ChuyÓn ChØ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Ph¸ Ma Chó quyÕt	2	6	24	1	1	1	24		49									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Ph¸ Ma Chó quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Kim Cang 	2	6	25	1	1	1	25		50									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Kim Cang <color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Sau khi bŞ c«ng kİch cã tû lÖ t¨ng cao phßng ngù néi c«ng trong 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
La L«i quyÕt	2	6	26	1	1	1	26		51									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>La L«i quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn tû lÖ phßng ngù môc tiªu gi¶m trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Phôc Ma ThÇn quyÕt	2	6	27	1	1	1	27		52									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Phôc Ma ThÇn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
V« T­íng quyÕt	2	6	28	1	1	1	28		53									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>V« T­íng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
S­ Tö Hèng	2	6	29	1	1	1	29		54									\image\item\book\jue_004a1.spr	\image\item\book\jue_004a0.spr	<color=gold>S­ Tö Hèng<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Minh Chó quyÕt	2	6	30	1	1	1	30		55									\image\item\book\jue_004a1.spr	\image\item\book\jue_004a0.spr	<color=gold>Minh Chó quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Më réng ph¹m vi hiÖu qu¶		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Kim Cang ChØ quyÕt	2	6	31	1	1	1	31		56									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>Kim Cang ChØ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
ChÕ ¸m 	2	6	32	1	1	1	32		59									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>ChÕ ¸m <color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>T¨ng ®iÓm phßng ngù néi ngo¹i c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
T©m Nh·n quyÕt	2	6	33	1	1	1	33		60									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>T©m Nh·n quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>TÊt c¶ c«ng kİch cã tû lÖ bá qua phßng ngù cña môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
§éc Thİch Cèt quyÕt	2	6	34	1	1	1	34		61									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>§éc Thİch Cèt quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>KĞo dµi thêi gian hiÖu qu¶ ®éc 		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Gi¶i §éc Bİ quyÕt	2	6	35	1	1	1	35		62									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Gi¶i §éc Bİ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Cã x¸c xuÊt khiÕn môc tiªu gi¶m kh¸ng ®éc trong 1 thêi gian nhÊt ®Şnh		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
C©u Hån TÜnh quyÕt	2	6	36	1	1	1	36		63									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>C©u Hån TÜnh quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>KhiÕn môc tiªu t¨ng c­êng hiÖu qu¶ ®éc khi bŞ hçn lo¹n		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Ph¸ Quan quyÕt	2	6	37	1	1	1	37		64									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Ph¸ Quan quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>T¨ng tèc ®é ®Æt bÉy		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Truy T©m TiÔn quyÕt	2	6	38	1	1	1	38		65									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Truy T©m TiÔn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Thu Minh quyÕt	2	6	39	1	1	1	39		66									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Thu Minh quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>Cã x¸c xuÊt hoµn toµn bá qua nĞ tr¸ch cña môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Xuyªn T©m quyÕt	2	6	40	1	1	1	40		67									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Xuyªn T©m quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>KhiÕn ®éc ph¸t t¸c nhanh h¬n trªn ng­êi môc tiªu 		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Thèi §éc quyÕt	2	6	41	1	1	1	41		68									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Thèi §éc quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>Cã x¸c xuÊt khiÕn vâ c«ng xuÊt chiªu mang hiÖu qu¶ ®éc		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
§o¹n Ph¸ch quyÕt	2	6	42	1	1	1	42		69									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>§o¹n Ph¸ch quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> KhiÕn môc tiªu khi ngñ cã x¸c xuÊt bŞ s¸t th­¬ng nh­ng kh«ng tØnh		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
B¹o Ch©m quyÕt	2	6	43	1	1	1	43		70									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>B¹o Ch©m quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Hµm Xa quyÕt	2	6	44	1	1	1	44		71									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>Hµm Xa quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tû lÖ khëi ®éng chiªu thøc 1 cña TruyT©m TiÔn, B¹o Vò Hoa Tr©m		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Táa MÖnh Ch©m quyÕt	2	6	45	1	1	1	45		72									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>Táa MÖnh Ch©m quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KhiÕn môc tiªu kh«ng thÓ sö dông thuèc håi phôc trong 1 thêi gian		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
M·n Thiªn Vò quyÕt	2	6	46	1	1	1	46		73									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>M·n Thiªn Vò quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Quan ¢m QuyÕt	2	6	47	1	1	1	47		76									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Quan ¢m QuyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng s¸t th­¬ng ®èi víi thuéc tİnh ©m yªu ma		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Nga My PhËt quyÕt	2	6	48	1	1	1	48		77									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Nga My PhËt quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KĞo dµi hiÖu qu¶ thêi gian duy tr× c¸c kü n¨ng hç trî		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Ngäc N÷ KiÕm quyÕt	2	6	49	1	1	1	49		78									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Ngäc N÷ KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> Cã x¸c xuÊt ®¸nh lui môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
§é Nguyªn QuyÕt	2	6	50	1	1	1	50		79									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>§é Nguyªn QuyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng hiÖu qu¶, rót ng¾ng thêi gian duy tr×		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
PhËt Phæ quyÕt	2	6	51	1	1	1	51		80									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>PhËt Phæ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Gióp ®ång ®éi trong khu vùc vßng s¸ng t¨ng tÊt c¶ thuéc tİnh		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Liªn Hoa quyÕt	2	6	52	1	1	1	52		81									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Liªn Hoa quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KhiÕn môc tiªu trong khi sö dông vâ c«ng, tû lÖ phßng ngù néi ngo¹i c«ng t¨ng cao		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Thanh Ph¹n quyÕt	2	6	53	1	1	1	53		82									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Thanh Ph¹n quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
L­u Thñy 	2	6	54	1	1	1	54		83									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>L­u Thñy <color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tû lÖ nĞ tr¸nh hoµn toµn cho môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Phæ TÕ quyÕt	2	6	55	1	1	1	55		84									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Phæ TÕ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Gióp môc tiªu mçi nöa gi©y håi phôc sinh mÖnh trong 1 kho¶n thêi gian		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
BÊt DiÖt quyÕt	2	6	56	1	1	1	56		85									\image\item\book\jue_007a1.spr	\image\item\book\jue_007a0.spr	<color=gold>BÊt DiÖt quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> KhiÕn môc  tiªu gi¶m s¸t th­¬ng néi ngo¹i c«ng trong 3 phót		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
PhËt ChiÕn quyÕt	2	6	57	1	1	1	57		86									\image\item\book\jue_007a1.spr	\image\item\book\jue_007a0.spr	<color=gold>PhËt ChiÕn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Gióp môc tiªu gia t¨ng kh¶ n¨ng héi phôc sinh mÖnh khi ngåi, trong 10 phót		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
PhËt ¢m quyÕt	2	6	58	1	1	1	58		87									\image\item\book\jue_007a1.spr	\image\item\book\jue_007a0.spr	<color=gold>PhËt ¢m quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Gióp môc tiªu gia t¨ng kh¶ n¨ng héi phôc néi lùc khi ngåi, trong 10 phót		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
