Tªn M·o	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tÝnh hç trî 1	TrÞ sè Thuéc tÝnh hç trî 1	Thuéc tÝnh hç trî 2	TrÞ sè Thuéc tÝnh hç trî 2	Sè trang bÞ	§¾ng cÊp yªu cÇu	Giíi tÝnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàÐÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thÞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dÞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chÝ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm	Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27	Column28	Column29	Column30	Column31	Column32	Column33	Column34	Column35	Column36	Column37	Column38	Column39	Column40	Column41	Column42	Column43	Column44	Column45	Column46	Column47	Column48	Column49	Column50	Column51	Column52	Column53	Column54	Column55	Column56	Column57	Column58	Column59	Column60	Column61	Column62	Column63	Column64	Column65	Column66
S¬n Quû DiÖn	0	103	17	70	12923	0	200	26;12						72	1	1		\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	<color=gold>S¬n Quû DiÖn<color><enter>MÒm dÎo nh­ng ch¾c ch¾n. ThÝch hîp chiÕn ®Êu	±ê×¼ÄÐÍ·²¿018	M·o		7	0	0		0																																																																							
MËt ThÇn qu¸n	0	103	18	35	13863	0	175	12;26						73	1	1		\image\item\cap\man1_cap_018a1.spr	\image\item\cap\man1_cap_018a0.spr	<color=gold>MËt ThÇn qu¸n<color><enter>§éi vµo cã thÓ linh c¶m ®­îc ®iÒu hiÓm nguy s¾p x¶y ra	±ê×¼ÄÐÍ·²¿009	M·o		7	0	0		0																																																																							
HiÖp ThiÕu bè c©n	0	103	19	5	1	0	20	10;3						2	1	2		\image\item\cap\man2_cap_001a1.spr	\image\item\cap\man2_cap_001a0.spr	<color=gold>HiÖp ThiÕu bè c©n<color><enter>Dïng ®Ó bói tãc khi luyÖn v«ng	¿ýÎàÄÐÍ·²¿004	M·o		1	0	0		0																																																																							
H¾c CÈm bè c©n	0	103	20	5	1	0	25	12;4						8	1	2		\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	<color=gold>H¾c CÈm bè c©n<color><enter>C¸c hiÖp kh¸ch th­êng mang khi hµnh hiÖp ®ªm tèi	¿ýÎàÄÐÍ·²¿001	M·o		1	0	0		0																																																																							
Ng­u B× ®Çu c©n	0	103	21	10	396	0	30	13;4						13	1	2		\image\item\cap\man2_cap_003a1.spr	\image\item\cap\man2_cap_003a0.spr	<color=gold>Ng­u B× ®Çu c©n<color><enter>Võa ®Ñp võa duyªn d¸ng. C¸c v¨n nh©n rÊt thÝch ®eo	¿ýÎàÄÐÍ·²¿002	M·o		2	0	0		0																																																																							
Kim §iÒu c©n	0	103	22	5	457	0	25	4;13						14	1	2		\image\item\cap\man2_cap_004a1.spr	\image\item\cap\man2_cap_004a0.spr	<color=gold>Kim §iÒu c©n<color><enter>Dïng ®Ó bói tãc, rò ra phÝa sau rÊt ®Ñp	¿ýÎàÄÐÍ·²¿013	M·o		2	0	0		0																																																																							
Vò Th¾ng Sa M·o	0	103	23	15	725	0	45	15;5						21	1	2		\image\item\cap\man2_cap_005a1.spr	\image\item\cap\man2_cap_005a0.spr	<color=gold>Vò Th¾ng Sa M·o<color><enter>C¸c vâ s­ th­êng mang, phßng ngù rÊt tèt	¿ýÎàÄÐÍ·²¿010	M·o		2	0	0		0																																																																							
Hoµng Trï Thóc c©n	0	103	24	10	734	0	35	5;15						22	1	2		\image\item\cap\man2_cap_002a1.spr	\image\item\cap\man2_cap_002a0.spr	<color=gold>Hoµng Trï Thóc c©n<color><enter>Võa ®Ñp võa cã thÓ b¶o vÖ phÇn ®Çu	¿ýÎàÄÐÍ·²¿014	M·o		2	0	0		0																																																																							
ThÇn Méc c©n	0	103	25	20	1046	0	60	17;6						30	1	2		\image\item\cap\man2_cap_007a1.spr	\image\item\cap\man2_cap_007a0.spr	<color=gold>ThÇn Méc c©n<color><enter>KÕt tõ vá c©y cæ thô. Phßng ngù cùc tèt	¿ýÎàÄÐÍ·²¿011	M·o		3	0	0		0																																																																							
Nh­îc Thñy L¹p	0	103	26	10	1115	0	50	6;17						31	1	2		\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	<color=gold>Nh­îc Thñy L¹p<color><enter>Gän nhÑ nh­ng ch¾c ch¾n.	¿ýÎàÄÐÍ·²¿003	M·o		3	0	0		0																																																																							
Chu T­íc Thóc c©n	0	103	27	30	1695	0	80	19;7						38	1	2		\image\item\cap\man2_cap_009a1.spr	\image\item\cap\man2_cap_009a0.spr	<color=gold>Chu T­íc Thóc c©n<color><enter>C¸c v¨n nh©n th­êng ®eo, rÊt sang träng quý ph¸i	¿ýÎàÄÐÍ·²¿015	M·o		3	0	0		0																																																																							
H¶i ThÇn kÕt	0	103	28	15	1811	0	65	7;19						39	1	2		\image\item\cap\man2_cap_010a1.spr	\image\item\cap\man2_cap_010a0.spr	<color=gold>H¶i ThÇn kÕt<color><enter>Gièng h×nh ®Çu c¸, phßng ngù cùc tèt	¿ýÎàÄÐÍ·²¿008	M·o		3	0	0		0																																																																							
§Þnh Quèc Tö C©n	0	103	29	40	3064	0	100	21;8						47	1	2		\image\item\cap\man2_cap_011a1.spr	\image\item\cap\man2_cap_011a0.spr	<color=gold>§Þnh Quèc Tö C©n<color><enter>Hµo khÝ xung thiªn, t¨ng thªm søc m¹nh chiÕn ®Êu	¿ýÎàÄÐÍ·²¿012	M·o		4	0	0		0																																																																							
MËt NhÉn DiÖn tr¸o	0	103	30	20	3302	0	85	8;21						48	1	2		\image\item\cap\man2_cap_012a1.spr	\image\item\cap\man2_cap_012a0.spr	<color=gold>MËt NhÉn DiÖn tr¸o<color><enter>C¸c thÝch kh¸ch HuyÒn NhÉn gi¸o vïng Liªu §«ng th­êng mang	¿ýÎàÄÐÍ·²¿018	M·o		4	0	0		0																																																																							
ThÇn S¸ch Kim Kh«i	0	103	31	50	5074	0	130	23;8						55	1	2		\image\item\cap\man2_cap_013a1.spr	\image\item\cap\man2_cap_013a0.spr	<color=gold>ThÇn S¸ch Kim Kh«i<color><enter>CÊm vÖ qu©n §­êng triÒu th­êng ®éi. T­îng tr­ng cho søc m¹nh v­¬ng quyÒn	¿ýÎàÄÐÍ·²¿005	M·o		5	0	0		0																																																																							
Ngò Quû c©n	0	103	32	25	5402	0	110	8;23						56	1	2		\image\item\cap\man2_cap_014a1.spr	\image\item\cap\man2_cap_014a0.spr	<color=gold>Ngò Quû c©n<color><enter>Hót ®­îc yªu ma linh lùc, khiÕn ®èi ph­¬ng võa nh×n thÊy ®· khiÕp sî	¿ýÎàÄÐÍ·²¿017	M·o		5	0	0		0																																																																							
Tinh Cang ChiÕn Kh«i	0	103	33	60	8260	0	160	24;9						64	1	2		\image\item\cap\man2_cap_015a1.spr	\image\item\cap\man2_cap_015a0.spr	<color=gold>Tinh Cang ChiÕn Kh«i<color><enter>Tinh thÐp ®óc thµnh, ®ao th­¬ng bÊt nhËp	¿ýÎàÄÐÍ·²¿006	M·o		6	0	0		0																																																																							
L«i Tr× diÖn	0	103	34	30	8605	0	140	9;24						65	1	2		\image\item\cap\man2_cap_016a1.spr	\image\item\cap\man2_cap_016a0.spr	<color=gold>L«i Tr× diÖn<color><enter>Phßng ngù cùc kú hiÖu qu¶	¿ýÎàÄÐÍ·²¿009	M·o		6	0	0		0																																																																							
Chung Quú diÖn	0	103	35	70	12923	0	200	26;12						72	1	2		\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	<color=gold>Chung Quú diÖn<color><enter>§eo vµo khiÕn quû thÇn còng ph¶i kinh sî	¿ýÎàÄÐÍ·²¿007	M·o		7	0	0		0																																																																							
DÞ ThÇn c©n	0	103	36	35	13863	0	175	12;26						73	1	2		\image\item\cap\man2_cap_018a1.spr	\image\item\cap\man2_cap_018a0.spr	<color=gold>DÞ ThÇn c©n<color><enter>Chøa nhiÒu n¨ng lùc thÇn bÝ	¿ýÎàÄÐÍ·²¿016	M·o		7	0	0		0																																																																							
§µo Méc Tr©m	0	103	37	5	1	0	20	10;3						2	2	3		\image\item\cap\fm1_cap_001a1.spr	\image\item\cap\fm1_cap_001a0.spr	<color=gold>§µo Méc Tr©m<color><enter>Lµm tõ ®µo méc, mang vµo sÏ khiÕn t©m tÝnh hiÒn hßa	ÐÔ¸ÐÅ®Í·²¿033	M·o		1	0	0		0																																																																							
Th¸i Méc Tr©m	0	103	38	5	1	0	25	12;4						8	2	3		\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	<color=gold>Th¸i Méc Tr©m<color><enter>Mïi h­¬ng cã thÓ xua ®uæi c¸c lo¹i ®éc trïng	ÐÔ¸ÐÅ®Í·²¿019	M·o		1	0	0		0																																																																							
Phßng Phong L¹p	0	103	39	10	396	0	30	13;4						13	2	3		\image\item\cap\fm1_cap_003a1.spr	\image\item\cap\fm1_cap_003a0.spr	<color=gold>Phßng Phong L¹p<color><enter>Dïng ®Ó b¶o vÖ m¾t, cã thÓ ®i trong giã c¸t	ÐÔ¸ÐÅ®Í·²¿021	M·o		2	0	0		0																																																																							
TÞ Thñy L¹p	0	103	40	5	457	0	25	4;13						14	2	3		\image\item\cap\fm1_cap_004a1.spr	\image\item\cap\fm1_cap_004a0.spr	<color=gold>TÞ Thñy L¹p<color><enter>Lo¹i v¶i kh«ng thÊm n­íc, cã thÓ ®i trong m­a giã	ÐÔ¸ÐÅ®Í·²¿022	M·o		2	0	0		0																																																																							
Thanh §ång kÕt	0	103	41	15	725	0	45	15;5						21	2	3		\image\item\cap\fm1_cap_005a1.spr	\image\item\cap\fm1_cap_005a0.spr	<color=gold>Thanh §ång kÕt<color><enter>H×nh d¸ng rÊt cæ x­a, lµm tõ ®ång thau	ÐÔ¸ÐÅ®Í·²¿029	M·o		2	0	0		0																																																																							
San H« tr©m	0	103	42	10	734	0	35	5;15						22	2	3		\image\item\cap\fm1_cap_006a1.spr	\image\item\cap\fm1_cap_006a0.spr	<color=gold>San H« tr©m<color><enter>Lµm tõ san h« ngµn n¨m, ngh×n vµng khã mua	ÐÔ¸ÐÅ®Í·²¿034	M·o		2	0	0		0																																																																							
Bµn Th¹ch kÕt	0	103	43	20	1046	0	60	17;6						30	2	3		\image\item\cap\fm1_cap_007a1.spr	\image\item\cap\fm1_cap_007a0.spr	<color=gold>Bµn Th¹ch kÕt<color><enter>Lµm tõ háa th¹ch, cã thÓ trõ hµn gi¶i ®éc	ÐÔ¸ÐÅ®Í·²¿027	M·o		3	0	0		0																																																																							
Khæng T­íc Tr©m	0	103	44	10	1115	0	50	6;17						31	2	3		\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	<color=gold>Khæng T­íc Tr©m<color><enter>Kú tr©n dÞ b¶o. Cã thÓ phßng vµ gi¶i ®éc d­îc	ÐÔ¸ÐÅ®Í·²¿020	M·o		3	0	0		0																																																																							
Chu T­íc Ph¸t KÕt	0	103	45	30	1695	0	80	19;7						38	2	3		\image\item\cap\fm1_cap_009a1.spr	\image\item\cap\fm1_cap_009a0.spr	<color=gold>Chu T­íc Ph¸t KÕt<color><enter>Lµm tõ x­¬ng ®¹i ®iªu, cã thÓ ®i xuyªn löa	ÐÔ¸ÐÅ®Í·²¿027	M·o		3	0	0		0																																																																							
§»ng Xµ tr©m	0	103	46	15	1811	0	65	7;19						39	2	3		\image\item\cap\fm1_cap_010a1.spr	\image\item\cap\fm1_cap_010a0.spr	<color=gold>§»ng Xµ tr©m<color><enter>Lµm tõ x­¬ng m·ng xµ v­¬ng. Cã thÓ khèng chÕ d· thó	ÐÔ¸ÐÅ®Í·²¿025	M·o		3	0	0		0																																																																							
Minh §iÖp kÕt	0	103	47	40	3064	0	100	21;8						47	2	3		\image\item\cap\fm1_cap_011a1.spr	\image\item\cap\fm1_cap_011a0.spr	<color=gold>Minh §iÖp kÕt<color><enter>M« pháng theo h×nh 1 lo¹i b­ím kú dÞ vïng Miªu LÜnh	ÐÔ¸ÐÅ®Í·²¿031	M·o		4	0	0		0																																																																							
Kim Phông Tr©m	0	103	48	20	3302	0	85	8;21						48	2	3		\image\item\cap\fm1_cap_012a1.spr	\image\item\cap\fm1_cap_012a0.spr	<color=gold>Kim Phông Tr©m<color><enter>Lo¹i tr©m chøa Èn linh lùc, cã thÓ ®iÒu khiÓn ®­îc ¸c thó	ÐÔ¸ÐÅ®Í·²¿023	M·o		4	0	0		0																																																																							
§Þa KiÖt	0	103	49	50	5074	0	130	23;8						55	2	3		\image\item\cap\fm1_cap_013a1.spr	\image\item\cap\fm1_cap_013a0.spr	<color=gold>§Þa KiÖt<color><enter>Lo¹i m·o chØ dµnh cho c¸c n÷ t­íng	ÐÔ¸ÐÅ®Í·²¿034	M·o		5	0	0		0																																																																							
§o¹t hån	0	103	50	25	5402	0	110	8;23						56	2	3		\image\item\cap\fm1_cap_014a1.spr	\image\item\cap\fm1_cap_014a0.spr	<color=gold>§o¹t hån<color><enter>TÈm chÊt kÞch ®éc, c¸c s¸t thñ ­a dïng	ÐÔ¸ÐÅ®Í·²¿024	M·o		5	0	0		0																																																																							
NhËt MiÖn	0	103	51	60	8260	0	160	24;9						64	2	3		\image\item\cap\fm1_cap_015a1.spr	\image\item\cap\fm1_cap_015a0.spr	<color=gold>NhËt MiÖn<color><enter>Mét trong nh÷ng b¶o vËt do n÷ v­¬ng Oa quèc tiÕn cèng cho §­êng triÒu	ÐÔ¸ÐÅ®Í·²¿032	M·o		6	0	0		0																																																																							
ThÇn ¤	0	103	52	30	8605	0	140	9;24						65	2	3		\image\item\cap\fm1_cap_016a1.spr	\image\item\cap\fm1_cap_016a0.spr	<color=gold>ThÇn ¤<color><enter>Kh¾c tinh cña c¸c lo¹i ®éc d­îc	ÐÔ¸ÐÅ®Í·²¿030	M·o		6	0	0		0																																																																							
Tu La	0	103	53	70	12923	0	200	26;12						72	2	3		\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	<color=gold>Tu La<color><enter>Cã thÓ dïng ®Ó chiªu gäi yªu hån	ÐÔ¸ÐÅ®Í·²¿036	M·o		7	0	0		0																																																																							
Chu T­íc	0	103	54	35	13863	0	175	12;26						73	2	3		\image\item\cap\fm1_cap_018a1.spr	\image\item\cap\fm1_cap_018a0.spr	<color=gold>Chu T­íc<color><enter>Cã thÓ khiÕn m­a giã sÊm sÐt ph¶i dõng l¹i	ÐÔ¸ÐÅ®Í·²¿026	M·o		7	0	0		0																																																																							
§µo Méc thoa	0	103	55	5	1	0	20	10;3						2	2	4		\image\item\cap\fm2_cap_001a1.spr	\image\item\cap\fm2_cap_001a0.spr	<color=gold>§µo Méc thoa<color><enter>Lo¹i tr©m dïng ®Ó thö c¸c lo¹i ®éc d­îc	½¿Ð¡Å®Í·²¿003	M·o		1	0	0		0																																																																							
Th¸i V¨n Méc tr©m	0	103	56	5	1	0	25	12;4						8	2	4		\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	<color=gold>Th¸i V¨n Méc tr©m<color><enter>Võa ®Ñp võa cã thÓ khö ®éc	½¿Ð¡Å®Í·²¿005	M·o		1	0	0		0																																																																							
TrÇm Méc Thóc tr©m	0	103	57	10	396	0	30	13;4						13	2	4		\image\item\cap\fm2_cap_003a1.spr	\image\item\cap\fm2_cap_003a0.spr	<color=gold>TrÇm Méc Thóc tr©m<color><enter>Lµm tõ trÇm h­¬ng. Xa tr¨m b­íc vÉn nghe ®­îc mïi h­¬ng	½¿Ð¡Å®Í·²¿008	M·o		2	0	0		0																																																																							
Ng©n Linh Tr©m	0	103	58	5	457	0	25	4;13						14	2	4		\image\item\cap\fm2_cap_004a1.spr	\image\item\cap\fm2_cap_004a0.spr	<color=gold>Ng©n Linh Tr©m<color><enter>ThuÇn ng©n t¹o thµnh. Khi gÆp giã sÏ ph¸t ra tiÕng nh¹c du d­¬ng	½¿Ð¡Å®Í·²¿004	M·o		2	0	0		0																																																																							
Quû DiÖn Thóc c©n	0	103	59	15	725	0	45	15;5						21	2	4		\image\item\cap\fm2_cap_005a1.spr	\image\item\cap\fm2_cap_005a0.spr	<color=gold>Quû DiÖn Thóc c©n<color><enter>H×nh d¸ng nh­ mÆt quû khiÕn ng­êi nh¸t gan ph¶i tr¸nh xa	½¿Ð¡Å®Í·²¿011	M·o		2	0	0		0																																																																							
Thanh Lam c©n	0	103	60	10	734	0	35	5;15						22	2	4		\image\item\cap\fm2_cap_006a1.spr	\image\item\cap\fm2_cap_006a0.spr	<color=gold>Thanh Lam c©n<color><enter>KÕt tõ t¬ Thiªn tµm, ngh×n vµng khã mua	½¿Ð¡Å®Í·²¿001	M·o		2	0	0		0																																																																							
Lam §iÖp Thóc c©n	0	103	61	20	1046	0	60	17;6						30	2	4		\image\item\cap\fm2_cap_007a1.spr	\image\item\cap\fm2_cap_007a0.spr	<color=gold>Lam §iÖp Thóc c©n<color><enter>H×nh nh­ c¸nh b­ím. Gi¶i ®éc cùc kú h÷u hiÖu	½¿Ð¡Å®Í·²¿010	M·o		3	0	0		0																																																																							
B¹ch Hång Tr©m	0	103	62	10	1115	0	50	6;17						31	2	4		\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	<color=gold>B¹ch Hång Tr©m<color><enter>§óc tõ tinh thiÕt. Lóc nguy cÊp cã thÓ ph¸t ra hµo quang che m¾t ®èi ph­¬ng	½¿Ð¡Å®Í·²¿002	M·o		3	0	0		0																																																																							
Thiªn C¬ Thóc tr©m	0	103	63	30	1695	0	80	19;7						38	2	4		\image\item\cap\fm2_cap_009a1.spr	\image\item\cap\fm2_cap_009a0.spr	<color=gold>Thiªn C¬ Thóc tr©m<color><enter>ThiÕu n÷ Miªu téc vïng LÜnh Nam th­êng g¾n trªn ®Çu. Cã thÓ gi¶i ®éc.	½¿Ð¡Å®Í·²¿007	M·o		3	0	0		0																																																																							
Thiªn La Thoa	0	103	64	15	1811	0	65	7;19						39	2	4		\image\item\cap\fm2_cap_010a1.spr	\image\item\cap\fm2_cap_010a0.spr	<color=gold>Thiªn La Thoa<color><enter>C¸c thiÕu n÷ Liªu bang th­êng mang. ChÕ tõ b¨ng tinh ngµn n¨m!	½¿Ð¡Å®Í·²¿016	M·o		3	0	0		0																																																																							
