Tªn ¸o Choµng	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
¸o Choµng Tèng T­íng Qu©n	0	152	11	0	35000	0	100	35;35					31151	80		2		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	<color=gold>¸o Choµng Tèng T­íng Qu©n<color><enter>¸o Choµng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8
¸o Choµng Tèng T­íng Qu©n	0	152	12	0	35000	0	100	35;35					31152	80		3		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	<color=gold>¸o Choµng Tèng T­íng Qu©n<color><enter>¸o Choµng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8
¸o Choµng Tèng T­íng Qu©n	0	152	13	0	35000	0	100	35;35					31153	80		4		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	<color=gold>¸o Choµng Tèng T­íng Qu©n<color><enter>¸o Choµng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8
¸o Choµng Tèng Nguyªn So¸i	0	152	14	0	35000	0	100	35;35					31154	80		1		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	<color=gold>¸o Choµng Tèng Nguyªn So¸i<color><enter>¸o Choµng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Tèng Nguyªn So¸i	0	152	15	0	35000	0	100	35;35					31155	80		2		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	<color=gold>¸o Choµng Tèng Nguyªn So¸i<color><enter>¸o Choµng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Tèng Nguyªn So¸i	0	152	16	0	35000	0	100	35;35					31156	80		3		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	<color=gold>¸o Choµng Tèng Nguyªn So¸i<color><enter>¸o Choµng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Tèng Nguyªn So¸i	0	152	17	0	35000	0	100	35;35					31157	80		4		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	<color=gold>¸o Choµng Tèng Nguyªn So¸i<color><enter>¸o Choµng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Liªu T­íng Qu©n	0	152	18	0	35000	0	100	35;35					31158	80		1		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	<color=gold>¸o Choµng Liªu T­íng Qu©n<color><enter>¸o Choµng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8
¸o Choµng Liªu T­íng Qu©n	0	152	19	0	35000	0	100	35;35					31159	80		2		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	<color=gold>¸o Choµng Liªu T­íng Qu©n<color><enter>¸o Choµng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8
¸o Choµng Liªu T­íng Qu©n	0	152	20	0	35000	0	100	35;35					31160	80		3		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	<color=gold>¸o Choµng Liªu T­íng Qu©n<color><enter>¸o Choµng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8
¸o Choµng Liªu T­íng Qu©n	0	152	21	0	35000	0	100	35;35					31161	80		4		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	<color=gold>¸o Choµng Liªu T­íng Qu©n<color><enter>¸o Choµng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8
¸o Choµng Liªu Nguyªn So¸i	0	152	22	0	35000	0	100	35;35					31162	80		1		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	<color=gold>¸o Choµng Liªu Nguyªn So¸i<color><enter>¸o Choµng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Liªu Nguyªn So¸i	0	152	23	0	35000	0	100	35;35					31163	80		2		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	<color=gold>¸o Choµng Liªu Nguyªn So¸i<color><enter>¸o Choµng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Liªu Nguyªn So¸i	0	152	24	0	35000	0	100	35;35					31164	80		3		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	<color=gold>¸o Choµng Liªu Nguyªn So¸i<color><enter>¸o Choµng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Liªu Nguyªn So¸i	0	152	25	0	35000	0	100	35;35					31165	80		4		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	<color=gold>¸o Choµng Liªu Nguyªn So¸i<color><enter>¸o Choµng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Du HiÖp	0	152	26	0	40000	0	100	35;35					31234	80				\image\item\banghui\ÓÎÏÀÅû·ça1.spr	\image\item\banghui\ÓÎÏÀÅû·ça0.spr	<color=gold>¸o Choµng Du HiÖp<color><enter>R­îu thŞt ®i qua ruét, vÉn l­u trong lßng hiÖp nghÜa 		¸o Choµng		1;11	4	1		0		4	15	17	10
¸o Choµng ThiÕt HuyÕt	0	152	27	0	40000	0	100	40;30					31235	80				\image\item\banghui\ÌúÑªÅû·ça1.spr	\image\item\banghui\ÌúÑªÅû·ça0.spr	<color=gold>¸o Choµng ThiÕt HuyÕt<color><enter>ThiÕt huyÕt ®¬n t©m, chÕt mµ v« hèi		¸o Choµng		1;11	4	1		0		4	16	18	10
¸o Choµng V©n Du	0	152	28	0	40000	0	100	30;40					31236	80				\image\item\banghui\ÔÆÓÎÅû·ça1.spr	\image\item\banghui\ÔÆÓÎÅû·ça0.spr	<color=gold>¸o Choµng V©n Du<color><enter>V©n du thiªn h¹, tiªu dao bèn ph­¬ng		¸o Choµng		1;11	4	1		0		4	17	19	10
¸o kho¸c HiÖp Cèt	0	152	29	0	50000	0	100	35;35					31974	590				\image\item\banghui\ÏÀ¹ÇÅû·ça1.spr	\image\item\banghui\ÏÀ¹ÇÅû·ça0.spr	<color=gold>¸o kho¸c HiÖp Cèt<color><enter>HiÖp Cèt Nhu T×nh, Lo¹n ThÕ Hµo KiÖt		¸o Choµng		1;12	4	1		0		5	46	41	13
¸o kho¸c Qñy Phï	0	152	30	0	50000	0	100	40;30					31975	590				\image\item\banghui\¹í¸«Åû·ça1.spr	\image\item\banghui\¹í¸«Åû·ça0.spr	<color=gold>¸o kho¸c Qñy Phï<color><enter>Qñy Phï ThÇn C«ng, ChiÕn V« BÊt Th¾ng		¸o Choµng		1;12	4	1		0		5	47	42	13
¸o kho¸c §»ng V©n	0	152	31	0	50000	0	100	30;40					31976	590				\image\item\banghui\ÌÚÔÆÅû·ça1.spr	\image\item\banghui\ÌÚÔÆÅû·ça0.spr	<color=gold>¸o kho¸c §»ng V©n<color><enter>§»ng V©n Gi¸ Vô, Di ThÕ §éc LËp		¸o Choµng		1;12	4	1		0		5	48	43	13
Hoan L¨ng Phi Phong	0	152	32	0	60000	0	100	40;40					32067	590				\image\item\banghui\»ÃÁèÅû·ça1.spr	\image\item\banghui\»ÃÁèÅû·ça0.spr	<color=gold>Hoan L¨ng Phi Phong<color><enter>ThÓ tÊn phi phï, phiªu hèt nh­îc thÇn				1;12	4	1		0		6	84	58	14
§»ng Giao Phi Phong	0	152	33	0	60000	0	100	45;35					32068	590				\image\item\banghui\ÌÚòÔÅû·ça1.spr	\image\item\banghui\ÌÚòÔÅû·ça0.spr	<color=gold>§»ng Giao Phi Phong<color><enter>Tr­êng phong ph¸ l·ng héi h÷u thêi, trùc qu¸i v©n phµm tÕ th­¬ng h¶i				1;12	4	1		0		6	85	59	14
Khëi Ph­îng Phi Phong	0	152	34	0	60000	0	100	35;45					32069	590				\image\item\banghui\Æğ·ïÅû·ça1.spr	\image\item\banghui\Æğ·ïÅû·ça0.spr	<color=gold>Khëi Ph­îng Phi Phong<color><enter>H« nhi t­¬ng xuÊt ho¸n mü töu, d÷ nhÜ ®ång táa v¹n cæ sÇu				1;12	4	1		0		6	86	60	14
S¸t Lang Phi Phong	0	152	35	0	70000	0	100	45;45					28091	590				\image\item\other\¼²Ó°Åû·ça1.spr	\image\item\other\¼²Ó°Åû·ça0.spr	<color=gold>S¸t Lang Phi Phong<color><enter>Giã v« h×nh, M©y kh«ng d¸ng				1;12	4	1		0		7	135	114	15
NhuÖ Nha Phi Phong	0	152	36	0	70000	0	100	50;40					28092	590				\image\item\other\ÈñÑÀÅû·ça1.spr	\image\item\other\ÈñÑÀÅû·ça0.spr	<color=gold>NhuÖ Nha Phi Phong<color><enter>NhiÖt huyÕt kiªn trung, ngang tµng ng¹o nghÔ				1;12	4	1		0		7	136	115	15
Méng S¸t Phi Phong	0	152	37	0	70000	0	100	40;50					28093	590				\image\item\other\Ï¡ĞëÅû·ça1.spr	\image\item\other\Ï¡ĞëÅû·ça0.spr	<color=gold>Méng S¸t Phi Phong<color><enter>KÌn hiÖu vµo m¬, s½n sµng tuèt kiÕm				1;12	4	1		0		7	137	116	15
