Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)2	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng ( 0 cã thÓ giao dŞch, cã thÓ b¸n; 1 kh«ng thÓ giao dŞch kh«ng thÓ b¸n; 2 cã thÓ b¸n, kh«ng thÓ giao dŞch; 3 kh«ng thÓ b¸n, cã thÓ giao dŞch; 4 cã thÓ b¸n, sau khi mang vµo sÏ bŞ khãa)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	B¶o l­u 1	B¶o l­u 2	B¶o l­u 3	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
¶nh NguyÖt phï	2	3	10	2	2	999												\image\item\other\skius_010a1.spr	\image\item\other\skius_010a0.spr	<color=gold>¶nh NguyÖt phï<color><enter>§Ö tö Tôc Gia Vâ §ang sö dông nhanh chãng phôc håi c«ng lùc.		Tiªu hao		1									
Th¸i HuyÒn Chó	2	3	11	2	2	999												\image\item\other\skius_011a1.spr	\image\item\other\skius_011a0.spr	<color=gold>Th¸i HuyÒn Chó<color><enter>Sö dông nhanh chãng phôc håi sinh lùc.		Tiªu hao		1									
Ph¸ Ma Chó	2	3	12	0	2	999												\image\item\other\ÆÆÄ§Öäa1.spr	\image\item\other\ÆÆÄ§Öäa0.spr	<color=gold>Ph¸ Ma Chó<color><enter>Cã thÓ qua l¹i gi÷a 2 thÕ giíi ¢m_D­¬ng.		Tiªu hao		1									
Tô ThiÕt th¹ch	2	8	1	1	2	999												\image\item\other\ormeta_001a1.spr	\image\item\other\ormeta_001a0.spr	<color=gold>Tô ThiÕt th¹ch<color><enter>Cã thÓ chÕ t¹o Tinh ThiÕt kho¸ng th¹ch.		Sinh ho¹t											
Tô §ång th¹ch	2	8	2	1	2	999												\image\item\other\ormeta_002a1.spr	\image\item\other\ormeta_002a0.spr	<color=gold>Tô §ång th¹ch<color><enter>Cã thÓ chÕ t¹o Tinh §ång kho¸ng th¹ch.		Sinh ho¹t											
Tô Tİch th¹ch	2	8	3	1	2	999												\image\item\other\ormeta_003a1.spr	\image\item\other\ormeta_003a0.spr	<color=gold>Tô Tİch th¹ch<color><enter>Cã thÓ chÕ t¹o B¹ch Ng©n kho¸ng th¹ch.		Sinh ho¹t											
Tô Ng©n th¹ch	2	8	4	1	3	999												\image\item\other\ormeta_004a1.spr	\image\item\other\ormeta_004a0.spr	<color=gold>Tô Ng©n th¹ch<color><enter>Cã thÓ chÕ t¹o B¹ch Ng©n kho¸ng th¹ch.		Sinh ho¹t											
Th¸i B¹ch Tinh Th¹ch	2	8	6	1	3	999												\image\item\other\ormeta_006a1.spr	\image\item\other\ormeta_006a0.spr	<color=gold>Th¸i B¹ch Tinh Th¹ch<color><enter>Mét m¶nh thiªn th¹ch, ®Ñp nh­ ngäc cã thÓ ph¸t s¸ng.		Sinh ho¹t											
HuyÒn Th¹ch	2	8	7	1	4000	999												\image\item\other\ormeta_007a1.spr	\image\item\other\ormeta_007a0.spr	<color=gold>HuyÒn Th¹ch<color><enter>Mét m¶nh thiªn th¹ch, ®Ñp nh­ ngäc cã thÓ ph¸t s¸ng.		Sinh ho¹t		8									
HuyÒn Méc	2	7	1	1	2	999												\image\item\other\orwood_001a1.spr	\image\item\other\orwood_001a0.spr	<color=gold>HuyÒn Méc<color><enter>DÎo dai, cã thÓ dïng lµm gi¸o th­¬ng		Sinh ho¹t											
Ch­¬ng Méc	2	7	2	1	2	999												\image\item\other\orwood_002a1.spr	\image\item\other\orwood_002a0.spr	<color=gold>Ch­¬ng Méc<color><enter>BÒn ch¾c, ng­êi Giang §«ng hay dïng ®Ó ®ãng thuyÒn.		Sinh ho¹t											
Ngäc Thô Can	2	7	3	1	2	999												\image\item\other\orwood_003a1.spr	\image\item\other\orwood_003a0.spr	<color=gold>Ngäc Thô Can<color><enter>Thæ d©n th­êng dïng lµm nhµ.		Sinh ho¹t											
§an Thanh Méc	2	7	4	1	3	999												\image\item\other\orwood_004a1.spr	\image\item\other\orwood_004a0.spr	<color=gold>§an Thanh Méc<color><enter>Cùc kú dÎo dai, thæ d©n th­êng ®Îo lµm cµy.		Sinh ho¹t											
V« Häa Méc	2	7	5	1	3	999												\image\item\other\orwood_005a1.spr	\image\item\other\orwood_005a0.spr	<color=gold>V« Häa Méc<color><enter>Mïi h­¬ng dŞu nhÑ cã thÓ tr¸nh ®­îc tµ khİ, th­êng dïng lµm vò khİ.		Sinh ho¹t											
Ba La Méc Can	2	7	6	1	3	999												\image\item\other\orwood_006a1.spr	\image\item\other\orwood_006a0.spr	<color=gold>Ba La Méc Can<color><enter>Hoa gièng hoa sen, ®i xa tr¨m b­íc ®· nghe thÊy mïi th¬m.		Sinh ho¹t											
Khóc gç Bå §Ò	2	7	7	1	2	999												\image\item\other\orwood_007a1.spr	\image\item\other\orwood_007a0.spr	<color=gold>Khóc gç Bå §Ò<color><enter>Loµi c©y g¾n liÒn víi lŞch sö ph¸t triÓn cña PhËt Gi¸o.		Sinh ho¹t											
Tï Thó b×	2	10	5	1	2	999												\image\item\other\orskin_005a1.spr	\image\item\other\orskin_005a0.spr	<color=gold>Tï Thó b×<color><enter>Da cña mét loµi thó h×nh d¹ng gièng nh­ hæ, 10 n¨m míi lét x¸c mét lÇn.		Sinh ho¹t											
Thôy øng b×	2	10	4	1	2	999												\image\item\other\orskin_001a1.spr	\image\item\other\orskin_001a0.spr	<color=gold>Thôy øng b×<color><enter>Da cña hå ly chİn ®u«i, 10 n¨m míi lét x¸c mét lÇn.		Sinh ho¹t											
Ba xµ b×	2	10	3	1	3	999												\image\item\other\orskin_003a1.spr	\image\item\other\orskin_003a0.spr	<color=gold>Ba xµ b×<color><enter>Da ®éc xµ, 10 n¨m míi lét x¸c mét lÇn.		Sinh ho¹t											
SuÊt Nhiªn b×	2	10	2	1	3000	999												\image\item\other\orskin_002a1.spr	\image\item\other\orskin_002a0.spr	<color=gold>SuÊt Nhiªn b×<color><enter>Da ®éc xµ, 10 n¨m míi lét x¸c mét lÇn.		Sinh ho¹t		8									
Cuång Hïng b×	2	10	1	1	3	999												\image\item\other\orskin_004a1.spr	\image\item\other\orskin_004a0.spr	<color=gold>Cuång Hïng b×<color><enter>Cã thÓ may ¸o gi¸p chèng rĞt cùc tèt.		Sinh ho¹t											
§éc Lang Nguyªn B×	2	10	6	1	2	999												\image\item\other\orskin_006a1.spr	\image\item\other\orskin_006a0.spr	<color=gold>§éc Lang Nguyªn B×<color><enter>Da sãi cã thÓ may ¸o gi¸p.		Sinh ho¹t											
L«ng thá	2	9	1	0.1	1	999												\image\item\other\orsilk_001a1.spr	\image\item\other\orsilk_001a0.spr	<color=gold>L«ng thá<color><enter>Cã thÓ may thµnh trang phôc		Sinh ho¹t		1									
Tµm t¬	2	9	2	1	2	999												\image\item\other\orsilk_002a1.spr	\image\item\other\orsilk_002a0.spr	<color=gold>Tµm t¬<color><enter>Lo¹i t¬ næi tiÕng ë vïng Giang Nam ®­îc xem lµ th­îng phÈm.		Sinh ho¹t		2									
T¬ Ngò S¾c	2	9	3	1	3	999												\image\item\other\orsilk_003a1.spr	\image\item\other\orsilk_003a0.spr	<color=gold>T¬ Ngò S¾c<color><enter>§Æc s¶n cña vïng LÜnh Nam.		Sinh ho¹t		3									
Lang chu t¬	2	2	52	1	4	999												\image\item\other\orsilk_009a1.spr	\image\item\other\orsilk_009a0.spr	<color=gold>Lang chu t¬<color><enter>MŞn mµng bÒn ch¾c		Sinh ho¹t		4									
Hång t¬	2	2	53	1	5	999												\image\item\other\orsilk_012a1.spr	\image\item\other\orsilk_012a0.spr	<color=gold>Hång t¬<color><enter>Mét lo¹i t¬ ë T©y Vùc, mµu s¾c ®á th¾m		Sinh ho¹t		5									
Linh Chu t¬	2	2	54	1	6	999												\image\item\other\orsilk_010a1.spr	\image\item\other\orsilk_010a0.spr	<color=gold>Linh Chu t¬<color><enter>Mét lo¹i t¬ cña vïng t©y nam cã thÓ kh¸ng ®éc.		Sinh ho¹t		6									
Kim tµm t¬	2	2	55	1	7	999												\image\item\other\orsilk_008a1.spr	\image\item\other\orsilk_008a0.spr	<color=gold>Kim tµm t¬<color><enter>Mét lo¹i T¬ t»m ë Thiªn Tróc cã thÓ trõ háa thanh nhiÖt.		Sinh ho¹t		7									
L·nh trïng t¬	2	9	4	1	8	999												\image\item\other\orsilk_004a1.spr	\image\item\other\orsilk_004a0.spr	<color=gold>L·nh trïng t¬<color><enter>Cã thÓ dÖt thµnh trang phôc		Sinh ho¹t		8									
Háa chu t¬	2	9	5	1	9	999												\image\item\other\orsilk_005a1.spr	\image\item\other\orsilk_005a0.spr	<color=gold>Háa chu t¬<color><enter>Lo¹i t¬ chØ cã ë vïng Nam LÜnh		Sinh ho¹t		9									
B¨ng tµm t¬	2	9	6	1	10	999												\image\item\other\orsilk_006a1.spr	\image\item\other\orsilk_006a0.spr	<color=gold>B¨ng tµm t¬<color><enter>T¬ cña mét lo¹i nhÖn trªn nói Thiªn S¬n vïng T©y Vùc, mÒm m¹i bÒn ch¾c.		Sinh ho¹t		10									
¤ Tµm  t¬	2	9	7	1	4000	999												\image\item\other\orsilk_007a1.spr	\image\item\other\orsilk_007a0.spr	<color=gold>¤ Tµm  t¬<color><enter>Lo¹i t»m trªn nói TuyÕt S¬n, mçi n¨m chØ nh¶ t¬ mét lÇn. Dïng lµm d­îc liÖu trŞ th­¬ng cùc kú h÷u dông.		Sinh ho¹t		8									
Thiªn Tµm t¬	2	2	56	1	10	999												\image\item\other\orsilk_011a1.spr	\image\item\other\orsilk_011a0.spr	<color=gold>Thiªn Tµm t¬<color><enter>Lo¹i t¬ chØ cã ë vïng Nam LÜnh		Sinh ho¹t		9									
T¬ Th¸i V©n	2	2	100	1	10	999												\image\item\other\²ÊÔÆË¿a1.spr	\image\item\other\²ÊÔÆË¿a0.spr	<color=gold>T¬ Th¸i V©n<color><enter>Sîi t¬ Tiªn n÷ dïng ®Ó dÖt m©y trong truyÒn thuyÕt, vËt liÖu dïng ®Ó t¹o trang bŞ cao cÊp.		Sinh ho¹t		10									
Bæ Thiªn TuyÕn	2	2	101	1	10	999												\image\item\other\orsilk_011a1.spr	\image\item\other\orsilk_011a0.spr	<color=gold>Bæ Thiªn TuyÕn<color><enter>Sîi t¬ dïng ®Ó v¸ trêi trong truyÒn thuyÕt, vËt liÖu may phßng cô cùc kú hiÕm cã.		Sinh ho¹t											
Thiªn H¹t Ch©m	2	2	102	1	10	999												\image\item\other\coll_112a1.spr	\image\item\other\coll_112a0.spr	<color=gold>Thiªn H¹t Ch©m<color><enter>Lo¹i da trong truyÒn thuyÕt, v« cïng cøng c¸p, c¸c lo¹i kim th­êng kh«ng thÓ xuyªn thñng.		Sinh ho¹t											
Tinh ThiÕt	2	2	1	1	1	999												\image\item\other\meta_001a1.spr	\image\item\other\meta_001a0.spr	<color=gold>Tinh ThiÕt<color><enter>§­îc tinh luyÖn tõ kho¸ng th¹ch, cã thÓ lµm vò khİ.		Sinh ho¹t		1									
B¸ch LuyÖn C­¬ng	2	2	2	1	2	999												\image\item\other\meta_002a1.spr	\image\item\other\meta_002a0.spr	<color=gold>B¸ch LuyÖn C­¬ng<color><enter>Nguyªn liÖu chÕ t¹o vò khİ.		Sinh ho¹t		2									
¤ kim th¹ch	2	8	5	1	3	999												\image\item\other\ormeta_005a1.spr	\image\item\other\ormeta_005a0.spr	<color=gold>¤ kim th¹ch<color><enter>Dïng lµm nguyªn liÖu.		Sinh ho¹t		3									
Hµn thiÕt	2	2	4	1	4	999												\image\item\other\meta_004a1.spr	\image\item\other\meta_004a0.spr	<color=gold>Hµn thiÕt<color><enter>Nguyªn liÖu chÕ t¹o vò khİ.		Sinh ho¹t		4									
Th¸i b¹ch tinh kim	2	2	5	1	5	999												\image\item\other\meta_005a1.spr	\image\item\other\meta_005a0.spr	<color=gold>Th¸i b¹ch tinh kim<color><enter>Nguyªn liÖu chÕ t¹o vò khİ cùc kú quı hiÕm.		Sinh ho¹t		5									
HuyÒn thiÕt	2	2	6	1	6	999												\image\item\other\meta_006a1.spr	\image\item\other\meta_006a0.spr	<color=gold>HuyÒn thiÕt<color><enter>Nguyªn liÖu chÕ t¹o vò khİ cùc kú quı hiÕm.		Sinh ho¹t		6									
Thiªn thanh th¹ch	2	2	36	1	7	999												\image\item\other\ormeta_011a1.spr	\image\item\other\ormeta_011a0.spr	<color=gold>Thiªn thanh th¹ch<color><enter>Nguyªn liÖu chÕ t¹o cao cÊp cùc kú quı hiÕm. .		Sinh ho¹t		7									
H¾c « th¹ch	2	2	37	1	8	999												\image\item\other\ormeta_010a1.spr	\image\item\other\ormeta_010a0.spr	<color=gold>H¾c « th¹ch<color><enter>§¸ nam ch©m, nguyªn liÖu cao cÊp.		Sinh ho¹t		8									
H¾c ¤ tinh th¹ch	2	2	66	1	8	999												\image\item\other\ormeta_010Sa1.spr	\image\item\other\ormeta_010Sa0.spr	<color=gold>H¾c ¤ tinh th¹ch<color><enter>§­îc tinh luyÖn l¹i tõ ®¸ nam ch©m.		Sinh ho¹t		8									
Xİch ¤ linh phï	2	2	69	0	1	999												\image\item\other\fu_002Sa1.spr	\image\item\other\fu_002Sa0.spr	<color=gold>Xİch ¤ linh phï<color><enter>Linh phï ®­îc lµm tõ Gi¸m ®Şnh phï kÕt hîp víi Bå §Ò méc tr¶i qua qu¸ tr×nh phøc t¹p chÕ thµnh.		Sinh ho¹t		8									
Xİch thiÕt	2	2	38	1	9	999												\image\item\other\ormeta_008a1.spr	\image\item\other\ormeta_008a0.spr	<color=gold>Xİch thiÕt<color><enter>Nguyªn liÖu cao cÊp		Sinh ho¹t		9									
V©n mÉu	2	2	39	1	10	999												\image\item\other\ormeta_012a1.spr	\image\item\other\ormeta_012a0.spr	<color=gold>V©n mÉu<color><enter>Tinh kho¸ng th¹ch, nguyªn liÖu cao cÊp.		Sinh ho¹t		10									
C¸o th¹ch	2	2	40	1	10	999												\image\item\other\ormeta_009a1.spr	\image\item\other\ormeta_009a0.spr	<color=gold>C¸o th¹ch<color><enter>Nguyªn liÖu cao cÊp quı hiÕm.		Sinh ho¹t											
Tö Kim	2	2	3	1	3	999												\image\item\other\meta_003a1.spr	\image\item\other\meta_003a0.spr	<color=gold>Tö Kim<color><enter>Nguyªn liÖu cao cÊp		Sinh ho¹t		3									
Hån Th¹ch	2	2	103	1	10	999												\image\item\other\ormeta_006a1.spr	\image\item\other\ormeta_006a0.spr	<color=gold>Hån Th¹ch<color><enter>ThÇn binh lîi khİ ®Ò cã linh hån, Hån th¹ch vÉn lµ vËt kh«ng thÓ thiÕu ®Ó chÕ t¹o ThÇn khİ.		Sinh ho¹t											
M¶nh Thiªn th¹ch	2	2	7	1	4000	999												\image\item\other\ÔÉÌúËéÆ¬(x).spr	\image\item\other\ÔÉÌúËéÆ¬(d).spr	<color=gold>M¶nh Thiªn th¹ch<color><enter>Nguyªn liÖu ®Ó ®óc thÇn khİ. (VËt thªm vµo, gi¸ trŞ lµ 10, gi¸ trŞ tèi ®a lµ 6000)		ThÇn bİ		1	0	1							
Thiªn th¹ch	2	2	8	1	7000	999												\image\item\other\smeta_001a1.spr	\image\item\other\smeta_001a0.spr	<color=gold>Thiªn th¹ch<color><enter>Cuèi n¨m Êt DËu, Xİch tinh r¬i ë T©y B¾c, C«ng Th©u Ban dïng liÖt háa luyÖn thµnh tinh th¹ch, nguyªn liÖu ®Ó ®óc thÇn khİ. (VËt thªm vµo, gi¸ trŞ lµ 40, gi¸ trŞ tèi ®a lµ 7000)		ThÇn bİ		1	0	1							
Tïng Méc	2	2	41	1	1	999												\image\item\other\orwood_009a1.spr	\image\item\other\orwood_009a0.spr	<color=gold>Tïng Méc<color><enter>Hoa v¨n tù nhiªn cã thÓ dïng lµm giÊy.		Sinh ho¹t		1									
D­¬ng Méc	2	2	42	1	2	999												\image\item\other\orwood_012a1.spr	\image\item\other\orwood_012a0.spr	<color=gold>D­¬ng Méc<color><enter>Ng­êi ph­¬ng B¾c th­êng sö dông.		Sinh ho¹t		2									
Sam Méc	2	2	43	1	3	999												\image\item\other\orwood_008a1.spr	\image\item\other\orwood_008a0.spr	<color=gold>Sam Méc<color><enter>Cã thÓ dïng lµm nguyªn liÖu		Sinh ho¹t		3									
ThiÕt Méc	2	2	44	1	4	999												\image\item\other\orwood_010a1.spr	\image\item\other\orwood_010a0.spr	<color=gold>ThiÕt Méc<color><enter>Nguyªn liÖu cùc tèt.		Sinh ho¹t		4									
Ng« §ång	2	2	45	1	5	999												\image\item\other\orwood_011a1.spr	\image\item\other\orwood_011a0.spr	<color=gold>Ng« §ång<color><enter>Cã thÓ dïng lµm nguyªn liÖu		Sinh ho¹t		5									
Trïng Méc	2	2	9	1	6	999												\image\item\other\wood_001a1.spr	\image\item\other\wood_001a0.spr	<color=gold>Trïng Méc<color><enter>Cã thÓ dïng chÕ t¹o vò khİ.		Sinh ho¹t		6									
ThiÕt Ch­¬ng Méc	2	2	10	1	7	999												\image\item\other\wood_002a1.spr	\image\item\other\wood_002a0.spr	<color=gold>ThiÕt Ch­¬ng Méc<color><enter>Cã thÓ dïng lµm nguyªn liÖu		Sinh ho¹t		7									
ThiÕt TuyÕn Méc	2	2	11	1	8	999												\image\item\other\wood_003a1.spr	\image\item\other\wood_003a0.spr	<color=gold>ThiÕt TuyÕn Méc<color><enter>Cã thÓ dïng lµm nguyªn liÖu		Sinh ho¹t		8									
ThiÕt TuyÕn tinh méc	2	2	67	1	8	999												\image\item\other\wood_003Sa1.spr	\image\item\other\wood_003Sa0.spr	<color=gold>ThiÕt TuyÕn tinh méc<color><enter>Cã thÓ dïng lµm nguyªn liÖu		Sinh ho¹t		8									
Ba La Méc	2	2	12	1	9	999												\image\item\other\wood_004a1.spr	\image\item\other\wood_004a0.spr	<color=gold>Ba La Méc<color><enter>Nguyªn liÖu chÕ t¹o vò khİ.		Sinh ho¹t		9									
§µn Méc	2	2	13	1	10	999												\image\item\other\wood_005a1.spr	\image\item\other\wood_005a0.spr	<color=gold>§µn Méc<color><enter>Mïi h­¬ng cã thÓ trõ ®­îc tµ ma. Nguyªn liÖu cùc kú quı hiÕm.		Sinh ho¹t		10									
Bå §Ò Méc	2	2	14	1	6000	999												\image\item\other\wood_006a1.spr	\image\item\other\wood_006a0.spr	<color=gold>Bå §Ò Méc<color><enter>Nguyªn liÖu quı hiÕm.		Sinh ho¹t		8									
ThiÕt Hoa Méc	2	2	104	1	10	999												\image\item\other\orwood_010a1.spr	\image\item\other\orwood_010a0.spr	<color=gold>ThiÕt Hoa Méc<color><enter>ThiÕt Hoa Méc, cøng h¬n thĞp, dïng ®Ó chÕ t¹o vò khİ.		Sinh ho¹t		4									
KiÕn Méc	2	2	105	1	10	999												\image\item\other\wood_006a1.spr	\image\item\other\wood_006a0.spr	<color=gold>KiÕn Méc<color><enter>Gç lÊy tõ c©y cao chäc trêi trong truyÒn thuyÕt, dïng ®Ó chÕ t¹o vò khİ.		Sinh ho¹t		8									
Da sãi	2	2	15	1	1	999												\image\item\other\skin_001a1.spr	\image\item\other\skin_001a0.spr	<color=gold>Da sãi<color><enter>Da sãi th«ng th­êng, dïng lµm nguyªn liÖu phßng hé.		Sinh ho¹t		1									
Da hæ	2	2	16	1	2	999												\image\item\other\skin_002a1.spr	\image\item\other\skin_002a0.spr	<color=gold>Da hæ<color><enter>Dïng lµm nguyªn liÖu phßng hé, rÊt hiÖu qu¶ khi chiÕn ®Êu!		Sinh ho¹t		2									
Da r¾n	2	2	18	1	3	999												\image\item\other\skin_003a1.spr	\image\item\other\skin_003a0.spr	<color=gold>Da r¾n<color><enter>Dïng lµm nguyªn liÖu phßng hé.		Sinh ho¹t		3									
Da c¸o	2	2	17	1	4	999												\image\item\other\skin_004a1.spr	\image\item\other\skin_004a0.spr	<color=gold>Da c¸o<color><enter>Dïng lµm nguyªn liÖu phßng hé.		Sinh ho¹t		4									
Da hæ tr¾ng	2	2	46	1	5	999												\image\item\other\orskin_011a1.spr	\image\item\other\orskin_011a0.spr	<color=gold>Da hæ tr¾ng<color><enter>Da hæ tr¨m tuæi, cùc kú quı hiÕm.		Sinh ho¹t		5									
Da gÊu	2	2	20	1	6	999												\image\item\other\skin_006a1.spr	\image\item\other\skin_006a0.spr	<color=gold>Da gÊu<color><enter>Dïng lµm nguyªn liÖu phßng hé.		Sinh ho¹t		6									
Loan ®iÓu vò	2	10	7	1	7	999												\image\item\other\orskin_007a1.spr	\image\item\other\orskin_007a0.spr	<color=gold>Loan ®iÓu vò<color><enter>Dïng lµm nguyªn liÖu phßng hé.		Sinh ho¹t		7									
Da S­ tö	2	2	47	1	8	999												\image\item\other\orskin_008a1.spr	\image\item\other\orskin_008a0.spr	<color=gold>Da S­ tö<color><enter>Mét trong 4 tø linh, dïng lµm nguyªn liÖu phßng hé cùc kú quı hiÕm.		Sinh ho¹t		8									
Da S­ tinh	2	2	68	1	1	999												\image\item\other\orskin_008Sa1.spr	\image\item\other\orskin_008Sa0.spr	<color=gold>Da S­ tinh<color><enter>Da S­ tö qua nhiÒu c«ng ®o¹n tinh luyÖn chÕ biÕn thµnh.		Sinh ho¹t		8									
Da V­în tr¾ng	2	2	48	1	9	999												\image\item\other\orskin_010a1.spr	\image\item\other\orskin_010a0.spr	<color=gold>Da V­în tr¾ng<color><enter>Da V­în tr¾ng cña vïng §«ng S¬n, cã thÓ trõ ®éc.		Sinh ho¹t											
Chu T­íc vò	2	2	49	1	10	999												\image\item\other\orsilk_013a1.spr	\image\item\other\orsilk_013a0.spr	<color=gold>Chu T­íc vò<color><enter>L«ng chim sÎ ë vïng Giang Nam, löa thiªu kh«ng ch¸y		Sinh ho¹t		10									
Da Linh ngao	2	2	50	1	10	999												\image\item\other\orskin_009a1.spr	\image\item\other\orskin_009a0.spr	<color=gold>Da Linh ngao<color><enter>Vâ ngao ë biÓn Bét H¶i, n­íc kh«ng thÊm.		Sinh ho¹t		9									
Phông Hoµng Vò	2	2	51	1	10	999												\image\item\other\orsilk_014a1.spr	\image\item\other\orsilk_014a0.spr	<color=gold>Phông Hoµng Vò<color><enter>Cã thÓ dïng lµm nguyªn liÖu tinh chÕ ®¬n d­îc C¶i tö håi sinh.		Sinh ho¹t											
H¾c CÈm	2	2	21	1	1	999												\image\item\other\silk_001a1.spr	\image\item\other\silk_001a0.spr	<color=gold>H¾c CÈm<color><enter>Lo¹i gÊm chØ cã ë vïng Giang Nam, mÒm m¹i quı ph¸i, nguyªn liÖu may trang phôc.		Sinh ho¹t		7									
