Tªn thó c­ìi	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè lç tèi ®a	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng (0 cã thÓ, 1 kh«ng thÓ giao dŞch, 2 cã thÓ giao dŞch cã thÓ b¸n shop, 3 cã thÓ giao dŞch kh«ng thÓ b¸n shop, 4 khãa sau khi trang bŞ cã thÓ b¸n shop, 5 khãa sau khi trang bŞ kh«ng thÓ b¸n shop)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 4	Phİ	Column1
Hoµng T«ng m·	0	105	6	1000	100	0	500		state_move_speed_percent_add	800;110				1				\image\item\horse\horse_08a1.spr	\image\item\horse\horse_08a0.spr	<color=gold>Hoµng T«ng m·<color><enter>Lo¹i ngùa chuyªn dïng trong chiÕn ®Êu	Âí03	M· Bµi	\script\item\horse.lua	2				8000	
H¾c T«ng m·	0	105	7	1000	100	0	500		state_move_speed_percent_add	800;111				1				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	<color=gold>H¾c T«ng m·<color><enter>Lo¹i ngùa chuyªn dïng trong chiÕn ®Êu	Âí05	M· Bµi	\script\item\horse.lua	2				8000	
B¹ch T«ng m·	0	105	8	1000	100	0	500		state_move_speed_percent_add	800;112				1				\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	<color=gold>B¹ch T«ng m·<color><enter>Lo¹i ngùa chuyªn dïng trong chiÕn ®Êu	Âí04	M· Bµi	\script\item\horse.lua	2				8000	
Xİch Thè	0	105	9	1000	100	0	2500		state_move_speed_percent_add	800;113				1				\image\item\horse\horse_07a1.spr	\image\item\horse\horse_07a0.spr	<color=gold>Xİch Thè<color><enter>L÷ Bè ®· tõng c­ìi.	Âí07	M· Bµi	\script\item\horse.lua	3		1		50000	
Tr¶o Hoµng Phi §iÖn	0	105	11	1000	100	0	2500		state_move_speed_percent_add	800;114				1				\image\item\horse\horse_08a1.spr	\image\item\horse\horse_08a0.spr	<color=gold>Tr¶o Hoµng Phi §iÖn<color><enter>Tµo Th¸o ®· tõng c­ìi ®i s¨n cïng H¸n HiÕn §Õ.	Âí08	M· Bµi	\script\item\horse.lua	3		1		50000	
Hèt L«i B¸c	0	105	12	1000	100	0	2500		state_move_speed_percent_add	800;115				1				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	<color=gold>Hèt L«i B¸c<color><enter>C¸c kş sÜ th­êng sö dông, cã thÓ ch¹y rßng r· 3 ngµy kh«ng mÖt mái.	Âí10	M· Bµi	\script\item\horse.lua	3		1		50000	
Bé C¶nh	0	105	13	1000	100	0	2500		state_move_speed_percent_add	800;116				1				\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	<color=gold>Bé C¶nh<color><enter>Lo¹i ngùa tèt cã nguån gèc tõ M«ng Cæ, tèc ®é nh­ giã.	Âí09	M· Bµi	\script\item\horse.lua	3		1		50000	
TuyÖt §Şa	0	105	14	1000	100	0	15000		state_move_speed_percent_add	800;117				1				\image\item\horse\horse_01a1.spr	\image\item\horse\horse_01a0.spr	<color=gold>TuyÖt §Şa<color><enter>Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.	Âí08	M· Bµi	\script\item\horse.lua	4		1		200000	
Phiªu Vò	0	105	15	1000	100	0	15000		state_move_speed_percent_add	800;118				1				\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	<color=gold>Phiªu Vò<color><enter>Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.	Âí11	M· Bµi	\script\item\horse.lua	4		1		200000	
B«n Tiªu	0	105	16	1000	100	0	15000		state_move_speed_percent_add	800;119				1				\image\item\horse\horse_07a1.spr	\image\item\horse\horse_07a0.spr	<color=gold>B«n Tiªu<color><enter>Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng	Âí14	M· Bµi	\script\item\horse.lua	4		1		200000	
ViÖt ¶nh	0	105	17	1000	100	0	15000		state_move_speed_percent_add	800;120				1				\image\item\horse\horse_01a1.spr	\image\item\horse\horse_01a0.spr	<color=gold>ViÖt ¶nh<color><enter>Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.	Âí08	M· Bµi	\script\item\horse.lua	4		1		200000	
Du Huy	0	105	18	1000	100	0	15000		state_move_speed_percent_add	800;121				1				\image\item\horse\horse_01a1.spr	\image\item\horse\horse_01a0.spr	<color=gold>Du Huy<color><enter>Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.	Âí09	M· Bµi	\script\item\horse.lua	4		1		200000	
Siªu Quang	0	105	19	1000	100	0	15000		state_move_speed_percent_add	800;122				1				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	<color=gold>Siªu Quang<color><enter>Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.	Âí13	M· Bµi	\script\item\horse.lua	4		1		200000	
§»ng Vô	0	105	20	1000	100	0	15000		state_move_speed_percent_add	800;123				1				\image\item\horse\horse_08a1.spr	\image\item\horse\horse_08a0.spr	<color=gold>§»ng Vô<color><enter>Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.	Âí12	M· Bµi	\script\item\horse.lua	4		1		200000	
HiÖp Dùc	0	105	21	1000	100	0	15000		state_move_speed_percent_add	800;124				1						<color=gold>HiÖp Dùc<color><enter>Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.			\script\item\horse.lua	4		1		200000	
ThuyÒn rång	0	105	25	1000	100	0	1000		state_move_speed_percent_add	800;125				10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	<color=gold>ThuyÒn rång<color><enter>VËt kh«ng thÓ thiÕu trong cuéc ®ua thuyÒn ngµy tÕt §oan Ngä	ÁúÖÛ	M· Bµi	\script\item\boat.lua	1				10000	
ThuyÒn Rång Thñy Ph¸o	0	105	26	1000	100	0	1000		state_move_speed_percent_add	800;126				10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	<color=gold>ThuyÒn Rång Thñy Ph¸o<color><enter>Lo¹i thuyÒn ®Æc biÖt, cã thÓ b¾n n­íc nhËn ch×m thuyÒn ®èi ph­¬ng.	ÍÁÅÚÁúÖÛ	M· Bµi	\script\item\boat.lua	1				10000	
ThuyÒn Rång Thñy L«i	0	105	27	1000	100	0	1000		state_move_speed_percent_add	800;127				10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	<color=gold>ThuyÒn Rång Thñy L«i<color><enter>Lo¹i thuyÒn ®Æc biÖt, cã søc tµn ph¸ cùc m¹nh nhanh chãng nhËn ch×m ®èi ph­¬ng.	Ë®À×ÁúÖÛ	M· Bµi	\script\item\boat.lua	1				10000	
ThuyÒn Rång Thñy L·ng	0	105	28	1000	100	0	1000		state_move_speed_percent_add	800;128				10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	<color=gold>ThuyÒn Rång Thñy L·ng<color><enter>Lo¹i thuyÒn ®Æc biÖt, t¹o nh÷ng ngän sãng cao ch«n vïi ®èi ph­¬ng	Ë®ÀËÁúÖÛ	M· Bµi	\script\item\boat.lua	1				10000	
ThuyÒn rång §o¶n Binh	0	105	29	1000	100	0	1000		state_move_speed_percent_add	800;129				10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	<color=gold>ThuyÒn rång §o¶n Binh<color><enter>Cã thÓ t¹o nh÷ng lùc c¶n lµm chËm thuyÒn cña ®èi ph­¬ng.	¶Ì±øÁúÖÛ	M· Bµi	\script\item\boat.lua	1				10000	
ThuyÒn Rång Liªn X¹	0	105	30	1000	100	0	1000		state_move_speed_percent_add	800;130				10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	<color=gold>ThuyÒn Rång Liªn X¹<color><enter>Cã thÓ liªn tôc b¾n ra nh÷ng qu¶ thñy ph¸o lµm cho ®èi ph­¬ng khã xoay së.	Ë®ÅÚÁúÖÛ	M· Bµi	\script\item\boat.lua	1				10000	
ThuyÒn rång TiÒm Hµnh	0	105	31	1000	100	0	1000		state_move_speed_percent_add	800;131				10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	<color=gold>ThuyÒn rång TiÒm Hµnh<color><enter>Khi cÇn thiÕt cã thÓ lÆn xuèng n­íc ®Ó tr¸nh sù tÊn c«ng cña ®èi ph­¬ng.	Ç±ĞĞÁúÖÛ	M· Bµi	\script\item\boat.lua	1				10000	
KiÖu hoa	0	105	32	1000	1	0	1000		state_move_speed_percent_add	800;132				13				\image\item\horse\»¨½Îa1.spr	\image\item\horse\»¨½Îa0.spr	<color=gold>KiÖu hoa<color><enter>KiÖu hoa nhá ®ãn T©n n­¬ng	»¨½Î	M· Bµi	\script\item\sedan.lua	1				10000	
Niªn thó	0	105	33	1000	1	0	888		state_move_speed_percent_add	800;133				10				\image\item\horse\ÄêÊŞa1.spr	\image\item\horse\ÄêÊŞa0.spr	<color=gold>Niªn thó<color><enter>Sau khi sö dông sÏ xuÊt hiÖn mét con niªn thó ®Ó b¹n c­ìi.	ÄêÊŞ	M· Bµi	\script\item\horse.lua	3	2	1		6	
B¹ch M·	0	105	34	1000	1	0	1000		state_move_speed_percent_add	800;134				60			6	\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	<color=gold>B¹ch M·<color><enter>B¹ch m· cña t­íng qu©n cã chøc vŞ trong D­¬ng Gia t­íng khi xuÊt chinh th­êng c­ìi	Âí09	M· Bµi	\script\item\horse.lua	3				10000	
TuÇn Léc	0	105	35	1000	1	0	2500		state_move_speed_percent_add	800;135				10				\image\item\horse\Ê¥µ®Â¹a1.spr	\image\item\horse\Ê¥µ®Â¹a0.spr	<color=gold>TuÇn Léc<color><enter>Sau khi sö dông sÏ xuÊt hiÖn mét con TuÇn léc cho b¹n c­ìi.	Ê¥µ®Â¹	M· Bµi	\script\item\horse.lua	3				60	
V¹n Lı Yªn V©n Tr¸o 	0	105	36	1000	1	0	2500		state_move_speed_percent_add	800;136				80				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	<color=gold>V¹n Lı Yªn V©n Tr¸o <color><enter>V¹n Lı Yªn V©n Tr¸o lµ thó c­ìi cña Lı Nguyªn B¸, con trai thø ba cña Lı Uyªn. M×nh ®en gièng nh­ ®¸m mÊy ®en quÊn quanh ng­êi, cã tèc ®é vµ vÎ ®Ñp cña giã.	Âí19	M· Bµi	\script\item\horse.lua	4	1	2		6	
Thİch TuyÕt ¤ Truy 	0	105	37	1000	1	0	2500		state_move_speed_percent_add	800;137				60				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	<color=gold>Thİch TuyÕt ¤ Truy <color><enter>Con ngùa næi tiÕng, hİ ra löa, m×nh ®en mãng tr¾ng, th©n h×nh tùa m©y tuyÕt, cao ba tÊc, dµi mét tr­îng, cã sù uy nghiªm cña B¸ V­¬ng gi¸ l¹nh.	Âí19	M· Bµi	\script\item\horse.lua	4	1	2		6	
Phï Dùc 	0	105	39	1000	1	0	2500		state_move_speed_percent_add	800;138				1				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	<color=gold>Phï Dùc <color><enter>§¹i UyÓn ThÇn C©u cao chİn th­íc, dµi m­êi tr­îng h¬n, th©n cã kim cöu hoa gi¸p, ch¹y nhanh nh­ giã.	Âí20	M· Bµi	\script\item\horse.lua	4				10000	
B¹ch NghÜa	0	105	40	1000	1	0	2500		state_move_speed_percent_add	800;139				1				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	<color=gold>B¹ch NghÜa<color><enter>B¾c C­¬ng ThÇn C©u, cao chİn th­íc, tr¾ng nh­ tuyÕt, l«ng th­a nh­ con K× L©n, tèc ®é phi nh­ tªn b¾n. 	Âí21	M· Bµi	\script\item\horse.lua	4				10000	
Trang phôc r­íc ®uèc t¹m thêi	0	105	41	1000	1	0	2500		state_move_speed_percent_add	800;140				1	1	1		\image\item\horse\±ê×¼»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\±ê×¼»ğ¾æÊÖÍâ×°a0.spr	<color=gold>Trang phôc r­íc ®uèc t¹m thêi<color><enter>TiÓu ®iÕm cã b¸n trang phôc r­íc ®uèc pháng chÕ, chØ cã thÓ mÆc mét ngµy. 	»ğ¾æ×°1	M· Bµi	\script\online\aoyun08\Item\temp_huojufushi.lua	1	2	1		1000	
Trang phôc r­íc ®uèc t¹m thêi	0	105	42	1000	1	0	2500		state_move_speed_percent_add	800;141				1	1	2		\image\item\horse\¿ıÎà»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\¿ıÎà»ğ¾æÊÖÍâ×°a0.spr	<color=gold>Trang phôc r­íc ®uèc t¹m thêi<color><enter>TiÓu ®iÕm cã b¸n trang phôc r­íc ®uèc pháng chÕ, chØ cã thÓ mÆc mét ngµy. 	»ğ¾æ×°2	M· Bµi	\script\online\aoyun08\Item\temp_huojufushi.lua	1	2	1		1000	
Trang phôc r­íc ®uèc t¹m thêi	0	105	43	1000	1	0	2500		state_move_speed_percent_add	800;142				1	2	3		\image\item\horse\ĞÔ¸Ğ»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\ĞÔ¸Ğ»ğ¾æÊÖÍâ×°a0.spr	<color=gold>Trang phôc r­íc ®uèc t¹m thêi<color><enter>TiÓu ®iÕm cã b¸n trang phôc r­íc ®uèc pháng chÕ, chØ cã thÓ mÆc mét ngµy. 	»ğ¾æ×°3	M· Bµi	\script\online\aoyun08\Item\temp_huojufushi.lua	1	2	1		1000	
Trang phôc r­íc ®uèc t¹m thêi	0	105	44	1000	1	0	2500		state_move_speed_percent_add	800;143				1	2	4		\image\item\horse\½¿Ğ¡»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\½¿Ğ¡»ğ¾æÊÖÍâ×°a0.spr	<color=gold>Trang phôc r­íc ®uèc t¹m thêi<color><enter>TiÓu ®iÕm cã b¸n trang phôc r­íc ®uèc pháng chÕ, chØ cã thÓ mÆc mét ngµy. 	»ğ¾æ×°4	M· Bµi	\script\online\aoyun08\Item\temp_huojufushi.lua	1	2	1		1000	
Trang phôc r­íc ®uèc	0	105	45	1000	1	0	2500		state_move_speed_percent_add	800;144				1	1	1		\image\item\horse\±ê×¼»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\±ê×¼»ğ¾æÊÖÍâ×°a0.spr	<color=gold>Trang phôc r­íc ®uèc<color><enter>Trang phôc cña triÒu ®×nh lµm tÆng cho thİ sinh r­íc ®uèc, t­îng tr­ng cho khİ ph¸ch hµo hïng	»ğ¾æ×°1	M· Bµi	\script\online\aoyun08\Item\huojufushi.lua	1	2	1		1000	
Trang phôc r­íc ®uèc	0	105	46	1000	1	0	2500		state_move_speed_percent_add	800;145				1	1	2		\image\item\horse\¿ıÎà»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\¿ıÎà»ğ¾æÊÖÍâ×°a0.spr	<color=gold>Trang phôc r­íc ®uèc<color><enter>Trang phôc cña triÒu ®×nh lµm tÆng cho thİ sinh r­íc ®uèc, t­îng tr­ng cho khİ ph¸ch hµo hïng	»ğ¾æ×°2	M· Bµi	\script\online\aoyun08\Item\huojufushi.lua	1	2	1		1000	
Trang phôc r­íc ®uèc	0	105	47	1000	1	0	2500		state_move_speed_percent_add	800;146				1	2	3		\image\item\horse\ĞÔ¸Ğ»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\ĞÔ¸Ğ»ğ¾æÊÖÍâ×°a0.spr	<color=gold>Trang phôc r­íc ®uèc<color><enter>Trang phôc cña triÒu ®×nh lµm tÆng cho thİ sinh r­íc ®uèc, t­îng tr­ng cho khİ ph¸ch hµo hïng	»ğ¾æ×°3	M· Bµi	\script\online\aoyun08\Item\huojufushi.lua	1	2	1		1000	
Trang phôc r­íc ®uèc	0	105	48	1000	1	0	2500		state_move_speed_percent_add	800;147				1	2	4		\image\item\horse\½¿Ğ¡»ğ¾æÊÖÍâ×°a1.spr	\image\item\horse\½¿Ğ¡»ğ¾æÊÖÍâ×°a0.spr	<color=gold>Trang phôc r­íc ®uèc<color><enter>Trang phôc cña triÒu ®×nh lµm tÆng cho thİ sinh r­íc ®uèc, t­îng tr­ng cho khİ ph¸ch hµo hïng	»ğ¾æ×°4	M· Bµi	\script\online\aoyun08\Item\huojufushi.lua	1	2	1		1000	
B¹ch NghÜa	0	105	49	1000	1	0	200		state_move_speed_percent_add	800;148				1				\image\item\horse\zhuanshenghorse3a1.spr	\image\item\horse\zhuanshenghorse3a0.spr	<color=gold>B¹ch NghÜa<color><enter>B¾c C­¬ng ThÇn C©u, cao chİn th­íc, tr¾ng nh­ tuyÕt, l«ng th­a nh­ con K× L©n, tèc ®é phi nh­ tªn b¾n. 	Âí21	M· Bµi	\script\item\horse.lua	4	0	1		10000	
HiÖp Dùc	0	105	50	1000	1	0	200		state_move_speed_percent_add	800;149				1				\image\item\horse\zhuanshenghorse2a1.spr	\image\item\horse\zhuanshenghorse2a0.spr	<color=gold>HiÖp Dùc<color><enter>Con ngùa næi tiÕng, hİ ra löa, m×nh ®en mãng tr¾ng, th©n h×nh tùa m©y tuyÕt, cao ba tÊc, dµi mét tr­îng, cã sù uy nghiªm cña B¸ V­¬ng gi¸ l¹nh.	Âí22	M· Bµi	\script\item\horse.lua	4	0	1		10000	
ChiÕn M· Nguyªn So¸i cao cÊp 	0	105	51	1000	1	0	1000		state_move_speed_percent_add	800;150				1			6	\image\item\horse\zhuanshenghorse3a1.spr	\image\item\horse\zhuanshenghorse3a0.spr	<color=gold>ChiÕn M· Nguyªn So¸i cao cÊp <color><enter>Vua ban tÆng thu c­ìi mµu tr¾ng cho chñ t­íng D­¬ng Gia	Âí21	M· Bµi	\script\item\horse.lua	4	0	1		10000	
ChiÕn M· Nguyªn So¸i cao cÊp 	0	105	52	1000	1	0	1000		state_move_speed_percent_add	800;151				1			6	\image\item\horse\zhuanshenghorse2a1.spr	\image\item\horse\zhuanshenghorse2a0.spr	<color=gold>ChiÕn M· Nguyªn So¸i cao cÊp <color><enter>Vua ban tÆng thu c­ìi mµu ®en cho chñ t­íng D­¬ng Gia	Âí22	M· Bµi	\script\item\horse.lua	4	0	1		10000	
TuÇn Léc	0	105	101	1000	0	0	15000		state_move_speed_percent_add	800;152				10				\image\item\horse\Ê¥µ®Â¹a1.spr	\image\item\horse\Ê¥µ®Â¹a0.spr	<color=gold>TuÇn Léc<color><enter>TriÖu håi thó c­ìi TuÇn Léc	Ê¥µ®Â¹	M· Bµi	\script\item\horse.lua	7	0	1		10000	999
Kim Ng­u	0	105	102	1000	0	0	15000		state_move_speed_percent_add	800;153				10				\image\item\other\jinniu_a1.spr	\image\item\other\jinniu_a0.spr	<color=gold>Kim Ng­u<color><enter>TriÖu håi thó c­ìi Kim Ng­u	½ğÅ£	M· Bµi	\script\item\horse.lua	7	4	1		10000	999
Hæ V»n	0	105	103	1000	0	0	15000		state_move_speed_percent_add	800;154				10				\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	<color=gold>Hæ V»n<color><enter>TriÖu håi thó c­ìi TuÇn Léc	Âí21	M· Bµi	\script\item\horse.lua	7	4	1		10000	999
Vua Thó V»n Tr¾ng	0	105	104	1000	0	0	15000		state_move_speed_percent_add	800;155				10				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	<color=gold>Vua Thó V»n Tr¾ng<color><enter>TriÖu håi thó c­ìi Kim Ng­u	Âí22	M· Bµi	\script\item\horse.lua	7	4	1		10000	999
Niªn Thó N¨m Míi	0	105	105	1000	1	0	2500		state_move_speed_percent_add	800;156				10				\image\item\horse\ÄêÊŞa1.spr	\image\item\horse\ÄêÊŞa0.spr	<color=gold>Niªn Thó N¨m Míi<color><enter>Sau khi sö dông sÏ xuÊt hiÖn mét con niªn thó ®Ó b¹n c­ìi.	ÄêÊŞ	M· Bµi	\script\item\horse.lua	3	4			6	999
Thiªn Lı Truy Phong(®á)	0	105	107	1000	0	0	2500		state_move_speed_percent_add	800;157				10				\image\item\horse\Ç§Àï×··ç£¨ºì£©a1.spr	\image\item\horse\Ç§Àï×··ç£¨ºì£©a0.spr	<color=gold>Thiªn Lı Truy Phong(®á)<color><enter>TÇn Thñy Hoµng Ngù H¹ ThÇn CÈu Chi Thñ, ch¹y nh­ giã ®uæi.	Âí24	M· Bµi	\script\item\horse.lua	7	2	1		10000	999
Thiªn Lı Truy Phong(vµng)	0	105	108	1000	0	0	2500		state_move_speed_percent_add	800;158				10				\image\item\horse\Ç§Àï×··ç£¨»Æ£©a1.spr	\image\item\horse\Ç§Àï×··ç£¨»Æ£©a0.spr	<color=gold>Thiªn Lı Truy Phong(vµng)<color><enter>TÇn Thñy Hoµng Ngù H¹ ThÇn CÈu Chi Thñ, ch¹y nh­ giã ®uæi.	Âí25	M· Bµi	\script\item\horse.lua	7	2	1		10000	999
Thiªn Lı Truy Phong(®en)	0	105	109	1000	0	0	2500		state_move_speed_percent_add	800;159				10				\image\item\horse\Ç§Àï×··ç£¨ºÚ£©a1.spr	\image\item\horse\Ç§Àï×··ç£¨ºÚ£©a0.spr	<color=gold>Thiªn Lı Truy Phong(®en)<color><enter>TÇn Thñy Hoµng Ngù H¹ ThÇn CÈu Chi Thñ, ch¹y nh­ giã ®uæi.	Âí26	M· Bµi	\script\item\horse.lua	7	2	1		10000	999
Thiªn Lı Truy Phong (Tr¾ng)	0	105	110	1000	0	0	2500		state_move_speed_percent_add	800;160				10				\image\item\horse\Ç§Àï×··ç£¨°×£©a1.spr	\image\item\horse\Ç§Àï×··ç£¨°×£©a0.spr	<color=gold>Thiªn Lı Truy Phong (Tr¾ng)<color><enter>TÇn Thñy Hoµng Ngù H¹ ThÇn CÈu Chi Thñ, ch¹y nh­ giã ®uæi.	Âí27	M· Bµi	\script\item\horse.lua	7	4	1		10000	999
