Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	Lùc phßng	PhÈm chÊt	L­u c	L­u d	L­u e	L­u f	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Gi¸ trŞ
H¶i Lam §iªu Søc	0	115	13	0	0	3	10											\image\item\wenshi\1¼¶Ê×ÊÎÎÆÊÎË®a1.spr	\image\item\wenshi\1¼¶Ê×ÊÎÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc nhÉn		V¨n Søc- Trang søc		1	0	1			999
Bİch Háa §iªu Søc	0	115	14	0	0	4	10											\image\item\wenshi\1¼¶Ê×ÊÎÎÆÊÎ»ğa1.spr	\image\item\wenshi\1¼¶Ê×ÊÎÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc nhÉn		V¨n Søc- Trang søc		1	0	1			999
LŞch Th¹ch §iªu Søc	0	115	15	0	0	5	10											\image\item\wenshi\1¼¶Ê×ÊÎÎÆÊÎÍÁa1.spr	\image\item\wenshi\1¼¶Ê×ÊÎÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc nhÉn		V¨n Søc- Trang søc		1	0	1			999
¸m Kim Phèi Søc	0	117	11	0	0	1	10											\image\item\wenshi\1¼¶ÅåÊÎÎÆÊÎ½ğa1.spr	\image\item\wenshi\1¼¶ÅåÊÎÎÆÊÎ½ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		1	0	1			999
Th­¬ng Thóy Phèi Søc	0	117	12	0	0	2	10											\image\item\wenshi\1¼¶ÅåÊÎÎÆÊÎÄ¾a1.spr	\image\item\wenshi\1¼¶ÅåÊÎÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		1	0	1			999
H¶i Lam Phèi Søc	0	117	13	0	0	3	10											\image\item\wenshi\1¼¶ÅåÊÎÎÆÊÎË®a1.spr	\image\item\wenshi\1¼¶ÅåÊÎÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		1	0	1			999
Bİch Háa Phèi Søc	0	117	14	0	0	4	10											\image\item\wenshi\1¼¶ÅåÊÎÎÆÊÎ»ğa1.spr	\image\item\wenshi\1¼¶ÅåÊÎÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		1	0	1			999
LŞch Th¹ch Phèi Søc	0	117	15	0	0	5	10											\image\item\wenshi\1¼¶ÅåÊÎÎÆÊÎÍÁa1.spr	\image\item\wenshi\1¼¶ÅåÊÎÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		1	0	1			999
Huy Kim Thiªn V¨n	0	116	16	0	0	1	20											\image\item\wenshi\2¼¶Ã±×ÓÎÆÊÎ½ğa1.spr	\image\item\wenshi\2¼¶Ã±×ÓÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		2	0	1			999
Ng­ng Thóy Thiªn V¨n	0	116	17	0	0	2	20											\image\item\wenshi\2¼¶Ã±×ÓÎÆÊÎÄ¾a1.spr	\image\item\wenshi\2¼¶Ã±×ÓÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		2	0	1			999
§iÖn H¶i Thiªn V¨n	0	116	18	0	0	3	20											\image\item\wenshi\2¼¶Ã±×ÓÎÆÊÎË®a1.spr	\image\item\wenshi\2¼¶Ã±×ÓÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		2	0	1			999
Né DiÖm Thiªn V¨n	0	116	19	0	0	4	20											\image\item\wenshi\2¼¶Ã±×ÓÎÆÊÎ»ğa1.spr	\image\item\wenshi\2¼¶Ã±×ÓÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		2	0	1			999
To¸i Nham Thiªn V¨n	0	116	20	0	0	5	20											\image\item\wenshi\2¼¶Ã±×ÓÎÆÊÎÍÁa1.spr	\image\item\wenshi\2¼¶Ã±×ÓÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		2	0	1			999
Huy Kim ChiÕn V¨n	0	113	16	0	0	1	20											\image\item\wenshi\2¼¶ÒÂ·şÎÆÊÎ½ğa1.spr	\image\item\wenshi\2¼¶ÒÂ·şÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ¸o		Hoa v¨n-y		2	0	1			999
Ng­ng Thóy ChiÕn V¨n	0	113	17	0	0	2	20											\image\item\wenshi\2¼¶ÒÂ·şÎÆÊÎÄ¾a1.spr	\image\item\wenshi\2¼¶ÒÂ·şÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ¸o		Hoa v¨n-y		2	0	1			999
§iÖn H¶i ChiÕn V¨n	0	113	18	0	0	3	20											\image\item\wenshi\2¼¶ÒÂ·şÎÆÊÎË®a1.spr	\image\item\wenshi\2¼¶ÒÂ·şÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ¸o		Hoa v¨n-y		2	0	1			999
Né DiÖm ChiÕn V¨n	0	113	19	0	0	4	20											\image\item\wenshi\2¼¶ÒÂ·şÎÆÊÎ»ğa1.spr	\image\item\wenshi\2¼¶ÒÂ·şÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ¸o		Hoa v¨n-y		2	0	1			999
To¸i Nham ChiÕn V¨n	0	113	20	0	0	5	20											\image\item\wenshi\2¼¶ÒÂ·şÎÆÊÎÍÁa1.spr	\image\item\wenshi\2¼¶ÒÂ·şÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ¸o		Hoa v¨n-y		2	0	1			999
Huy Kim HuyÒn V¨n	0	114	16	0	0	1	20											\image\item\wenshi\2¼¶¿ã×ÓÎÆÊÎ½ğa1.spr	\image\item\wenshi\2¼¶¿ã×ÓÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc quÇn		Hoa v¨n- trang		2	0	1			999
Ng­ng Thóy HuyÒn V¨n	0	114	17	0	0	2	20											\image\item\wenshi\2¼¶¿ã×ÓÎÆÊÎÄ¾a1.spr	\image\item\wenshi\2¼¶¿ã×ÓÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc quÇn		Hoa v¨n- trang		2	0	1			999
§iÖn H¶i HuyÒn V¨n	0	114	18	0	0	3	20											\image\item\wenshi\2¼¶¿ã×ÓÎÆÊÎË®a1.spr	\image\item\wenshi\2¼¶¿ã×ÓÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc quÇn		Hoa v¨n- trang		2	0	1			999
Né DiÖm HuyÒn V¨n	0	114	19	0	0	4	20											\image\item\wenshi\2¼¶¿ã×ÓÎÆÊÎ»ğa1.spr	\image\item\wenshi\2¼¶¿ã×ÓÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc quÇn		Hoa v¨n- trang		2	0	1			999
To¸i Nham HuyÒn V¨n	0	114	20	0	0	5	20											\image\item\wenshi\2¼¶¿ã×ÓÎÆÊÎÍÁa1.spr	\image\item\wenshi\2¼¶¿ã×ÓÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc quÇn		Hoa v¨n- trang		2	0	1			999
Huy Kim §iªu Søc	0	115	16	0	0	1	20											\image\item\wenshi\2¼¶Ê×ÊÎÎÆÊÎ½ğa1.spr	\image\item\wenshi\2¼¶Ê×ÊÎÎÆÊÎ½ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		2	0	1			999
Ng­ng Thóy §iªu Søc	0	115	17	0	0	2	20											\image\item\wenshi\2¼¶Ê×ÊÎÎÆÊÎÄ¾a1.spr	\image\item\wenshi\2¼¶Ê×ÊÎÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		2	0	1			999
§iÖn H¶i §iªu Søc	0	115	18	0	0	3	20											\image\item\wenshi\2¼¶Ê×ÊÎÎÆÊÎË®a1.spr	\image\item\wenshi\2¼¶Ê×ÊÎÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		2	0	1			999
Né DiÖm §iªu Søc	0	115	19	0	0	4	20											\image\item\wenshi\2¼¶Ê×ÊÎÎÆÊÎ»ğa1.spr	\image\item\wenshi\2¼¶Ê×ÊÎÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		2	0	1			999
To¸i Nham §iªu Søc	0	115	20	0	0	5	20											\image\item\wenshi\2¼¶Ê×ÊÎÎÆÊÎÍÁa1.spr	\image\item\wenshi\2¼¶Ê×ÊÎÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		2	0	1			999
Huy Kim Phèi Søc	0	117	16	0	0	1	20											\image\item\wenshi\2¼¶ÅåÊÎÎÆÊÎ½ğa1.spr	\image\item\wenshi\2¼¶ÅåÊÎÎÆÊÎ½ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		2	0	1			999
Ng­ng Thóy Phèi Søc	0	117	17	0	0	2	20											\image\item\wenshi\2¼¶ÅåÊÎÎÆÊÎÄ¾a1.spr	\image\item\wenshi\2¼¶ÅåÊÎÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		2	0	1			999
§iÖn H¶i Phèi Søc	0	117	18	0	0	3	20											\image\item\wenshi\2¼¶ÅåÊÎÎÆÊÎË®a1.spr	\image\item\wenshi\2¼¶ÅåÊÎÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		2	0	1			999
Né DiÖm Phèi Søc	0	117	19	0	0	4	20											\image\item\wenshi\2¼¶ÅåÊÎÎÆÊÎ»ğa1.spr	\image\item\wenshi\2¼¶ÅåÊÎÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		2	0	1			999
To¸i Nham Phèi Søc	0	117	20	0	0	5	20											\image\item\wenshi\2¼¶ÅåÊÎÎÆÊÎÍÁa1.spr	\image\item\wenshi\2¼¶ÅåÊÎÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		2	0	1			999
Méng Hoa Thiªn V¨n	0	116	21	0	0	1	30											\image\item\wenshi\3¼¶Ã±×ÓÎÆÊÎ½ğa1.spr	\image\item\wenshi\3¼¶Ã±×ÓÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		3	0	1			999
Thóy Cóc Thiªn V¨n	0	116	22	0	0	2	30											\image\item\wenshi\3¼¶Ã±×ÓÎÆÊÎÄ¾a1.spr	\image\item\wenshi\3¼¶Ã±×ÓÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		3	0	1			999
V©n Tr¹ch Thiªn V¨n	0	116	23	0	0	3	30											\image\item\wenshi\3¼¶Ã±×ÓÎÆÊÎË®a1.spr	\image\item\wenshi\3¼¶Ã±×ÓÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		3	0	1			999
Li Háa Thiªn V¨n	0	116	24	0	0	4	30											\image\item\wenshi\3¼¶Ã±×ÓÎÆÊÎ»ğa1.spr	\image\item\wenshi\3¼¶Ã±×ÓÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		3	0	1			999
B¨ng Ngäc Thiªn V¨n	0	116	25	0	0	5	30											\image\item\wenshi\3¼¶Ã±×ÓÎÆÊÎÍÁa1.spr	\image\item\wenshi\3¼¶Ã±×ÓÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		3	0	1			999
Méng Hoa ChiÕn V¨n	0	113	21	0	0	1	30											\image\item\wenshi\3¼¶ÒÂ·şÎÆÊÎ½ğa1.spr	\image\item\wenshi\3¼¶ÒÂ·şÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ¸o		Hoa v¨n-y		3	0	1			999
Thóy Cóc ChiÕn V¨n	0	113	22	0	0	2	30											\image\item\wenshi\3¼¶ÒÂ·şÎÆÊÎÄ¾a1.spr	\image\item\wenshi\3¼¶ÒÂ·şÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ¸o		Hoa v¨n-y		3	0	1			999
V©n Tr¹ch ChiÕn V¨n	0	113	23	0	0	3	30											\image\item\wenshi\3¼¶ÒÂ·şÎÆÊÎË®a1.spr	\image\item\wenshi\3¼¶ÒÂ·şÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ¸o		Hoa v¨n-y		3	0	1			999
Li Háa ChiÕn V¨n	0	113	24	0	0	4	30											\image\item\wenshi\3¼¶ÒÂ·şÎÆÊÎ»ğa1.spr	\image\item\wenshi\3¼¶ÒÂ·şÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ¸o		Hoa v¨n-y		3	0	1			999
B¨ng Ngäc ChiÕn V¨n	0	113	25	0	0	5	30											\image\item\wenshi\3¼¶ÒÂ·şÎÆÊÎÍÁa1.spr	\image\item\wenshi\3¼¶ÒÂ·şÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ¸o		Hoa v¨n-y		3	0	1			999
Méng Hoa HuyÒn V¨n	0	114	21	0	0	1	30											\image\item\wenshi\3¼¶¿ã×ÓÎÆÊÎ½ğa1.spr	\image\item\wenshi\3¼¶¿ã×ÓÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc quÇn		Hoa v¨n- trang		3	0	1			999
Thóy Cóc HuyÒn V¨n	0	114	22	0	0	2	30											\image\item\wenshi\3¼¶¿ã×ÓÎÆÊÎÄ¾a1.spr	\image\item\wenshi\3¼¶¿ã×ÓÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc quÇn		Hoa v¨n- trang		3	0	1			999
