ID	Tªn kü n¨ng	Giíi thiÖu s¬ l­îc	§¼ng cÊp yªu cÇu	Yªu cÇu kü n¨ng phèi hîp:	Yªu cÇu danh väng
67	Xuyªn T©m Thİch	§­êng M«n bÉy Trung cÊp, trong ph¹m vi nhÊt ®Şnh khiÕn ®èi ph­¬ng tróng ®éc	Yªu cÇu ®¼ng cÊp: 30	Yªu cÇu luyÖn thµnh tÇng 2 C¬ quan ph¸ gi¶i thuËt	Yªu cÇu danh väng 500 ®iÓm
68	Thèi §éc ThuËt	§­êng M«n tuyÖt kü Trung cÊp. <enter>vò khİ tÈm ®éc khi ®¸nh kÌm ®éc s¸t	Yªu cÇu ®¼ng cÊp: 34	Yªu cÇu luyÖn thµnh tÇng 4 Gi¶i ®éc bİ thuËt	Yªu cÇu danh väng 500 ®iÓm
69	§o¹t Ph¸ch Phiªn	§­êng M«n bÉy Trung cÊp, trong ph¹m vŞ nhÊt ®Şnh khiÕn ®èi ph­¬ng buån ngñ	Yªu cÇu ®¼ng cÊp: 36	Yªu cÇu luyÖn thµnh tÇng 2 Thu Hµo Minh Tra	Yªu cÇu danh väng 600 ®iÓm
70	B¹o Vò Lª Hoa Ch©m	§­êng M«n ¸m khİ thuËt cao cÊp. <enter>Chíp nho¸ng phãng ra nhiÒu ¸m khİ	Yªu cÇu ®¼ng cÊp: 40	Yªu cÇu luyÖn thµnh tÇng 4 Truy T©m TiÔn	Yªu cÇu danh väng 700 ®iÓm
71	Hµm Sa X¹ ¶nh	§­êng M«n t©m ph¸p cao cÊp. <enter>vËn khİ khiÕn ®éc quay ng­îc l¹i ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 45	Yªu cÇu luyÖn thµnh tÇng 2 Thèi §éc ThuËt	Yªu cÇu danh väng 800 ®iÓm
72	Táa MÖnh Ch©m	§­êng M«n bÉy cao cÊp. <enter>KhiÕn ®èi ph­¬ng tróng ®éc vµ gi¶m tèc ®é di chuyÓn	Yªu cÇu ®¼ng cÊp: 50	Yªu cÇu luyÖn thµnh tÇng 5 Xuyªn T©m Thİch hoÆc tÇng 3 §o¹t Ph¸ch Phiªn	Yªu cÇu danh väng 1000 ®iÓm
73	M·n Thiªn Hoa Vò	§­êng M«n ¸m khİ thuËt cao cÊp. <enter>§¸nh diÖn réng vµ khiÕn ®èi ph­¬ng tróng ®éc	Yªu cÇu ®¼ng cÊp: 55	Yªu cÇu luyÖn thµnh tÇng 4 B¹o Vò Lª Hoa Ch©m	Yªu cÇu danh väng 3000 ®iÓm
74	HÊp Tinh TrËn	§­êng m«n TrÊn Ph¸i c¹m bÉy, c¬ quan ®Çy rÉy, <enter>S¸t th­¬ng ®Şch thñ trong ph¹m vi réng	CÇn ph¶i ®¹t cÊp 80 	Ph¶i häc ®­îc tÊt c¶ vâ c«ng cÊp cao cña bæn ph¸i 	Ph¶i cã 10000 danh väng
75	Ngäc N÷ T©m Kinh	XuÊt gia nhËp m«n t©m ph¸p, gióp håi phôc néi khİ			
76	Quan ¢m QuyÕt	PhËt ph¸p s¬ cÊp, gióp håi phôc sinh lùc	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 Ngäc N÷ T©m Kinh	
77	Nga My PhËt ı	T©m ph¸p s¬ cÊp, t¨ng hiÖu qu¶ PhËt ph¸p	Yªu cÇu ®¼ng cÊp: 12	Yªu cÇu luyÖn thµnh tÇng 1 Quan ¢m QuyÕt	Yªu cÇu danh väng 50 ®iÓm
78	Ngäc N÷ kiÕm ph¸p	Nga My néi c«ng, ®¸nh môc tiªu theo ®­êng th¼ng	Yªu cÇu ®¼ng cÊp: 16	Yªu cÇu luyÖn thµnh tÇng 2 Ngäc N÷ T©m Kinh	Yªu cÇu danh väng: 30 ®iÓm
79	§é Nguyªn QuyÕt	PhËt ph¸p s¬ cÊp, gióp môc tiªu håi phôc néi khİ	Yªu cÇu ®¼ng cÊp: 20	Yªu cÇu luyÖn thµnh tÇng 3 Quan ¢m QuyÕt	Yªu cÇu danh väng 80 ®iÓm
80	PhËt Quang Phæ ChiÕu	PhËt ph¸p Trung cÊp, t¨ng phßng ngù phe m×nh	Yªu cÇu ®¼ng cÊp: 23	Yªu cÇu luyÖn thµnh tÇng 4 Quan ¢m QuyÕt	Yªu cÇu danh väng 100 ®iÓm
81	Liªn Hoa T©m Kinh	PhËt ph¸p Trung cÊp. <enter>§¶ th«ng kinh m¹ch, gióp xuÊt chiªu nhanh	Yªu cÇu ®¼ng cÊp: 26	Yªu cÇu luyÖn thµnh tÇng 4 Quan ¢m QuyÕt	Yªu cÇu danh väng 200 ®iÓm
82	Thanh ¢m Ph¹n X­íng	PhËt ph¸p Trung cÊp, lµm mÊt hiÖu qu¶ hç trî	Yªu cÇu ®¼ng cÊp: 30	Yªu cÇu luyÖn thµnh tÇng 3 §é Nguyªn QuyÕt	Yªu cÇu danh väng 300 ®iÓm
83	L­u Thñy QuyÕt	PhËt ph¸p Trung cÊp, n©ng tèc ®é di chuyÓn	Yªu cÇu ®¼ng cÊp: 34	Yªu cÇu luyÖn thµnh tÇng 3 Liªn Hoa T©m Kinh	Yªu cÇu danh väng 500 ®iÓm
84	Phæ TÕ Chóng Sinh	PhËt ph¸p Trung cÊp, gióp phe m×nh håi phôc sinh lùc	Yªu cÇu ®¼ng cÊp: 39	Yªu cÇu luyÖn thµnh tÇng 6 Quan ¢m QuyÕt	Yªu cÇu danh väng 700 ®iÓm
85	BÊt DiÖt T©m Ph¸p	Nga My phËt ph¸p cao cÊp, n©ng sinh lùc tèi ®a	Yªu cÇu ®¼ng cÊp: 43	Yªu cÇu luyÖn thµnh tÇng 2 L­u Thñy quyÕt	Yªu cÇu danh väng 800 ®iÓm
86	PhËt Quang ChiÕn Khİ	Nga My phËt ph¸p cao cÊp. <enter>n©ng lùc ®¸nh ngo¹i c«ng phe m×nh	Yªu cÇu ®¼ng cÊp: 48	Yªu cÇu luyÖn thµnh tÇng 5 PhËt Quang Phæ ChiÕu	Yªu cÇu danh väng 1000 ®iÓm
87	PhËt ¢m ChiÕn ı	Nga My phËt ph¸p cao cÊp. <enter>n©ng lùc ®¸nh néi c«ng phe m×nh	Yªu cÇu ®¼ng cÊp: 50	Yªu cÇu luyÖn thµnh tÇng 5 PhËt Quang Phæ ChiÕu	Yªu cÇu danh väng 1200 ®iÓm
88	§¹i Bi Chó	PhËt ph¸p th­îng thõa.<enter>Gióp môc tiªu sèng l¹i	Yªu cÇu ®¼ng cÊp: 55	Yªu cÇu luyÖn thµnh tÇng 4 Phæ TÕ Chóng Sinh	Yªu cÇu danh väng 3000 ®iÓm
89	V¹n T­íng ThÇn C«ng	PhËt ph¸p trÊn ph¸i <enter>t¨ng hiÖu qu¶ phßng ngù cho ®ång ®éi	CÇn ph¶i ®¹t cÊp 80 	Ph¶i häc ®­îc tÊt c¶ vâ c«ng cÊp cao cña bæn ph¸i 	Ph¶i cã 10000 danh väng
90	Väng NguyÖt T©m Ph¸p	Nga My ®Ö tö tôc gia nhËp m«n t©m ph¸p.<enter>Gióp håi phôc néi khİ vµ t¨ng tİnh linh ho¹t			
91	Tïy ı Khóc	CÇm ph¸p s¬ cÊp, dïng cÇm ©m tÊn c«ng ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 Väng NguyÖt T©m Ph¸p	
92	Khóc NghÖ Tinh Th«ng	T©m ph¸p s¬ cÊp. <enter>CÇm ©m khiÕn ®èi ph­¬ng mÊt søc chiÕn ®Êu	Yªu cÇu ®¼ng cÊp: 12	Yªu cÇu luyÖn thµnh tÇng 1 Väng NguyÖt T©m Ph¸p	Yªu cÇu danh väng: 30 ®iÓm
93	NguyÖt Thùc khóc	CÇm ph¸p s¬ cÊp. <enter>CÇm ©m khiÕn dèi ph­¬ng hao tæn sinh lùc	Yªu cÇu ®¼ng cÊp: 17	Yªu cÇu luyÖn thµnh tÇng 2 Tïy ı Khóc	Yªu cÇu danh väng 60 ®iÓm
94	§o¹n Thñy T©m Ph¸p	T©m ph¸p s¬ cÊp, cã thÓ tïy ı diÔn tÊu	Yªu cÇu ®¼ng cÊp: 21	Yªu cÇu luyÖn thµnh tÇng 3 Khóc NghÖ Tinh Th«ng	Yªu cÇu danh väng 100 ®iÓm
95	TÜnh D¹ T­	CÇm ph¸p Trung cÊp, nhiÔu lo¹n ®ång thêi g©y buån ngñ cho ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 25	Yªu cÇu luyÖn thµnh tÇng 2 NhËt NguyÖt Khóc	Yªu cÇu danh väng 200 ®iÓm
96	D­ ¢m NhiÔu L­¬ng C«ng	T©m ph¸p Trung cÊp, t¨ng kh¶ n¨ng chiÕn ®Êu	Yªu cÇu ®¼ng cÊp: 29	Yªu cÇu luyÖn thµnh tÇng 6 Khóc NghÖ Tinh Th«ng	Yªu cÇu danh väng 300 ®iÓm
97	D­¬ng Quan Tam §iÖp	CÇm ph¸p Trung cÊp, nhiÔu lo¹n phßng thñ cña ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 33	Yªu cÇu luyÖn thµnh tÇng 5 NhËt NguyÖt Khóc	Yªu cÇu danh väng 500 ®iÓm
98	Phóc Thñy T©m Ph¸p	T©m ph¸p Trung cÊp. <enter>DiÔn l¹i cÇm khóc võa gi¸n ®o¹n, duy tr× néi khİ	Yªu cÇu ®¼ng cÊp: 37	Yªu cÇu luyÖn thµnh tÇng 4 §o¹n Thñy T©m Ph¸p	Yªu cÇu danh väng 600 ®iÓm
99	PhÉn CÇm Chö H¹c QuyÕt	Nga My vâ c«ng th­îng thõa, dïng cÇm tÊn c«ng, uy lùc kinh ng­êi	Yªu cÇu ®¼ng cÊp: 42	Yªu cÇu luyÖn thµnh tÇng 1 Phóc Thñy T©m Ph¸p hoÆc tÇng 2 D­ ¢m NhiÔu L­¬ng C«ng	Yªu cÇu danh väng 800 ®iÓm
100	¤ D¹ §Ò	CÇm ph¸p th­îng thõa, nhiÔu lo¹n néi khİ kÎ ®Şch ®ång thêi gi¶m tû lÖ t¸c chiÕn	Yªu cÇu ®¼ng cÊp: 48	Yªu cÇu luyÖn thµnh tÇng 6 TÜnh D¹ T­	Yªu cÇu danh väng 1000 ®iÓm
101	Mª T©m Phiªu H­¬ng Khóc	CÇm ph¸p th­îng thõa, g©y cho¸ng trong ph¹m vi réng	Yªu cÇu ®¼ng cÊp: 55	Yªu cÇu luyÖn thµnh tÇng 6 D­¬ng Quan Tam §iÖp	Yªu cÇu danh väng 3000 ®iÓm
102	Thiªn ¢m TrÊn Hån Khóc	Nga My cÇm khóc trÊn ph¸i, phÕ vâ c«ng ®èi ph­¬ng	CÇn ph¶i ®¹t cÊp 80 	Ph¶i häc ®­îc tÊt c¶ vâ c«ng cÊp cao cña bæn ph¸i 	Ph¶i cã 10000 danh väng
103	Hçn Thiªn Khİ C«ng	C¸i Bang ®Ö tö tŞnh y nhËp m«n t©m ph¸p, gióp håi phôc ngo¹i th­¬ng			
104	C¸i Bang Ch­ëng ph¸p	C¸i Bang quyÒn ch­ëng c¨n b¶n, n©ng kü x¶o sö dông hé thñ	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 Hçn Thiªn Khİ C«ng	
105	Th«ng Tı QuyÒn	QuyÒn ph¸p s¬ cÊp, n©ng lùc ®¸nh quyÒn ph¸p th«ng th­êng	Yªu cÇu ®¼ng cÊp: 12	Yªu cÇu luyÖn thµnh tÇng 1 Hçn Thiªn Khİ C«ng	Yªu cÇu danh väng: 30 ®iÓm
106	Thiªn C©n H¹p	T©m ph¸p s¬ cÊp. <enter>Gi¶m thä th­¬ng	Yªu cÇu ®¼ng cÊp: 34	Yªu cÇu luyÖn thµnh tÇng 3 Tiªu Dao Du	Yªu cÇu danh väng 500 ®iÓm
107	B¸ V­¬ng QuyÒn	Ch­ëng ph¸p s¬ cÊp, uy lùc m¹nh mÏ khiÕn ®èi ph­¬ng bŞ cho¸ng	Yªu cÇu ®¼ng cÊp: 22	Yªu cÇu luyÖn thµnh tÇng 4 C¸i Bang Ch­ëng ph¸p	Yªu cÇu danh väng 100 ®iÓm
108	Táa HÇu CÇm N· Thñ	QuyÒn ph¸p Trung cÊp, võa c­¬ng võa nhu khãa chÆt ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 28	Yªu cÇu luyÖn thµnh tÇng 3 Th«ng Tı QuyÒn	Yªu cÇu danh väng 300 ®iÓm
